cumulative_sum,alpha,method
-7.259867168768153,0.0,IG
203.25739446952133,0.02,IG
144.25626960509078,0.04,IG
113.11037437965305,0.06,IG
89.31968415490255,0.08,IG
76.91253503305772,0.1,IG
67.39910000547677,0.12,IG
59.80946848972533,0.14,IG
54.45229334613194,0.16,IG
49.72733755019284,0.18,IG
45.67052661245731,0.2,IG
42.22574797479813,0.22,IG
39.27402613127112,0.24,IG
36.740982065468174,0.26,IG
34.47040974017439,0.28,IG
32.38750069964209,0.3,IG
30.512073656362514,0.32,IG
28.905788859461303,0.34,IG
27.428806763090265,0.36,IG
26.06191540956574,0.38,IG
24.81094433764413,0.4,IG
23.723557365564883,0.42,IG
22.774063825310808,0.44,IG
21.90555352563816,0.46,IG
21.095663231130267,0.48,IG
20.34965894335544,0.5,IG
19.640523254874804,0.52,IG
18.96371135146175,0.54,IG
18.34954510325015,0.56,IG
17.763945795939502,0.57,IG
17.192940339349565,0.6,IG
16.673912035872185,0.62,IG
16.175259602220336,0.64,IG
15.702817541137238,0.66,IG
15.254540538901866,0.68,IG
14.835049160106138,0.7,IG
14.432589122216973,0.72,IG
14.046933605765876,0.74,IG
13.670673052741941,0.76,IG
13.332499931879536,0.78,IG
13.007223843830456,0.8,IG
12.70171893847486,0.82,IG
12.406136756775826,0.84,IG
12.124687754715248,0.86,IG
11.853409408004122,0.88,IG
11.598282583051573,0.9,IG
11.353580605525991,0.92,IG
11.125415871130036,0.94,IG
10.903235519596777,0.96,IG
10.675524755888,0.98,IG
10.461460096424414,1.0,IG
8.866896629333496,0.0,Target
8.866896629333496,0.02,Target
8.866896629333496,0.04,Target
8.866896629333496,0.06,Target
8.866896629333496,0.08,Target
8.866896629333496,0.1,Target
8.866896629333496,0.12,Target
8.866896629333496,0.14,Target
8.866896629333496,0.16,Target
8.866896629333496,0.18,Target
8.866896629333496,0.2,Target
8.866896629333496,0.22,Target
8.866896629333496,0.24,Target
8.866896629333496,0.26,Target
8.866896629333496,0.28,Target
8.866896629333496,0.3,Target
8.866896629333496,0.32,Target
8.866896629333496,0.34,Target
8.866896629333496,0.36,Target
8.866896629333496,0.38,Target
8.866896629333496,0.4,Target
8.866896629333496,0.42,Target
8.866896629333496,0.44,Target
8.866896629333496,0.46,Target
8.866896629333496,0.48,Target
8.866896629333496,0.5,Target
8.866896629333496,0.52,Target
8.866896629333496,0.54,Target
8.866896629333496,0.56,Target
8.866896629333496,0.57,Target
8.866896629333496,0.6,Target
8.866896629333496,0.62,Target
8.866896629333496,0.64,Target
8.866896629333496,0.66,Target
8.866896629333496,0.68,Target
8.866896629333496,0.7,Target
8.866896629333496,0.72,Target
8.866896629333496,0.74,Target
8.866896629333496,0.76,Target
8.866896629333496,0.78,Target
8.866896629333496,0.8,Target
8.866896629333496,0.82,Target
8.866896629333496,0.84,Target
8.866896629333496,0.86,Target
8.866896629333496,0.88,Target
8.866896629333496,0.9,Target
8.866896629333496,0.92,Target
8.866896629333496,0.94,Target
8.866896629333496,0.96,Target
8.866896629333496,0.98,Target
8.866896629333496,1.0,Target
