cumulative_sum,alpha,method
-7.259870173358026,0.0,IG
203.25672877050687,0.02,IG
144.25615544452043,0.04,IG
113.11112268000329,0.06,IG
89.32028192822031,0.08,IG
76.9147676025622,0.1,IG
67.40289895881735,0.12,IG
59.81267197877756,0.14,IG
54.455006792250884,0.16,IG
49.729639865676376,0.18,IG
45.67262167380167,0.2,IG
42.22769556917965,0.22,IG
39.27582356073555,0.24,IG
36.74223139028726,0.26,IG
34.47157597777496,0.28,IG
32.388591184197736,0.3,IG
30.513099562895352,0.32,IG
28.906878343588705,0.34,IG
27.429838690510984,0.36,IG
26.062895140287278,0.38,IG
24.81188534750124,0.4,IG
23.724455161840424,0.42,IG
22.77492263932138,0.44,IG
21.9061894358651,0.46,IG
21.09626238987604,0.48,IG
20.350239302010163,0.5,IG
19.641078869474324,0.52,IG
18.96424713322263,0.54,IG
18.35006193505735,0.56,IG
17.764445121445227,0.57,IG
17.193423361003305,0.6,IG
16.6743838907553,0.62,IG
16.175703272981362,0.64,IG
15.703191358575252,0.66,IG
15.254897648620549,0.68,IG
14.835396950525325,0.7,IG
14.432931818542926,0.72,IG
14.04727055469576,0.74,IG
13.670992783716803,0.76,IG
13.332798897766946,0.78,IG
13.007510525847604,0.8,IG
12.702006447212831,0.82,IG
12.40642029467035,0.84,IG
12.124964932345717,0.86,IG
11.853671868989023,0.88,IG
11.59853922995152,0.9,IG
11.35382620142369,0.92,IG
11.125658558038394,0.94,IG
10.903473030471833,0.96,IG
10.675757451008096,0.98,IG
10.461688154606763,1.0,IG
8.866900444030762,0.0,Target
8.866900444030762,0.02,Target
8.866900444030762,0.04,Target
8.866900444030762,0.06,Target
8.866900444030762,0.08,Target
8.866900444030762,0.1,Target
8.866900444030762,0.12,Target
8.866900444030762,0.14,Target
8.866900444030762,0.16,Target
8.866900444030762,0.18,Target
8.866900444030762,0.2,Target
8.866900444030762,0.22,Target
8.866900444030762,0.24,Target
8.866900444030762,0.26,Target
8.866900444030762,0.28,Target
8.866900444030762,0.3,Target
8.866900444030762,0.32,Target
8.866900444030762,0.34,Target
8.866900444030762,0.36,Target
8.866900444030762,0.38,Target
8.866900444030762,0.4,Target
8.866900444030762,0.42,Target
8.866900444030762,0.44,Target
8.866900444030762,0.46,Target
8.866900444030762,0.48,Target
8.866900444030762,0.5,Target
8.866900444030762,0.52,Target
8.866900444030762,0.54,Target
8.866900444030762,0.56,Target
8.866900444030762,0.57,Target
8.866900444030762,0.6,Target
8.866900444030762,0.62,Target
8.866900444030762,0.64,Target
8.866900444030762,0.66,Target
8.866900444030762,0.68,Target
8.866900444030762,0.7,Target
8.866900444030762,0.72,Target
8.866900444030762,0.74,Target
8.866900444030762,0.76,Target
8.866900444030762,0.78,Target
8.866900444030762,0.8,Target
8.866900444030762,0.82,Target
8.866900444030762,0.84,Target
8.866900444030762,0.86,Target
8.866900444030762,0.88,Target
8.866900444030762,0.9,Target
8.866900444030762,0.92,Target
8.866900444030762,0.94,Target
8.866900444030762,0.96,Target
8.866900444030762,0.98,Target
8.866900444030762,1.0,Target
