cumulative_sum,alpha,method
-5.6541153940116775,0.0,IG
-1.4794311713714494,0.02,IG
-2.274457152827823,0.04,IG
-0.9947190723282961,0.06,IG
-1.2304135543825017,0.08,IG
-0.6402555824686496,0.1,IG
-0.28960754968729663,0.12,IG
0.2813730949431208,0.14,IG
0.59102954938859,0.16,IG
1.0323212670384563,0.18,IG
1.4015156086790213,0.2,IG
2.018602403634242,0.22,IG
2.6050912719166304,0.24,IG
3.4270771749788187,0.26,IG
4.75596669824719,0.28,IG
5.536151721557269,0.3,IG
6.792518564155226,0.32,IG
8.28704576877223,0.34,IG
9.705937685412398,0.36,IG
11.176887623741333,0.38,IG
11.893977064799564,0.4,IG
12.655763108947342,0.42,IG
13.195644266490715,0.44,IG
13.959671903194131,0.46,IG
14.31727043181617,0.48,IG
14.447515677064834,0.5,IG
14.278000693810982,0.52,IG
13.937713579970874,0.54,IG
13.418341429802105,0.56,IG
12.833922281436923,0.58,IG
12.273739428483987,0.6,IG
11.810652327051805,0.62,IG
11.421064772657974,0.64,IG
10.972792889852055,0.66,IG
10.561813515610245,0.68,IG
10.177864701980042,0.7,IG
9.865846790318725,0.72,IG
9.605501898004697,0.74,IG
9.327279865115495,0.76,IG
9.06555532005201,0.78,IG
8.808069731223892,0.8,IG
8.558923901680535,0.82,IG
8.370674405560145,0.84,IG
8.002036164153747,0.86,IG
7.6616438386893755,0.88,IG
7.4963871649450535,0.9,IG
7.3972529594365675,0.92,IG
7.213535988119622,0.94,IG
7.004517197877314,0.96,IG
6.886300512698339,0.98,IG
6.882622088062981,1.0,IG
7.110657215118408,0.0,Target
7.110657215118408,0.02,Target
7.110657215118408,0.04,Target
7.110657215118408,0.06,Target
7.110657215118408,0.08,Target
7.110657215118408,0.1,Target
7.110657215118408,0.12,Target
7.110657215118408,0.14,Target
7.110657215118408,0.16,Target
7.110657215118408,0.18,Target
7.110657215118408,0.2,Target
7.110657215118408,0.22,Target
7.110657215118408,0.24,Target
7.110657215118408,0.26,Target
7.110657215118408,0.28,Target
7.110657215118408,0.3,Target
7.110657215118408,0.32,Target
7.110657215118408,0.34,Target
7.110657215118408,0.36,Target
7.110657215118408,0.38,Target
7.110657215118408,0.4,Target
7.110657215118408,0.42,Target
7.110657215118408,0.44,Target
7.110657215118408,0.46,Target
7.110657215118408,0.48,Target
7.110657215118408,0.5,Target
7.110657215118408,0.52,Target
7.110657215118408,0.54,Target
7.110657215118408,0.56,Target
7.110657215118408,0.58,Target
7.110657215118408,0.6,Target
7.110657215118408,0.62,Target
7.110657215118408,0.64,Target
7.110657215118408,0.66,Target
7.110657215118408,0.68,Target
7.110657215118408,0.7,Target
7.110657215118408,0.72,Target
7.110657215118408,0.74,Target
7.110657215118408,0.76,Target
7.110657215118408,0.78,Target
7.110657215118408,0.8,Target
7.110657215118408,0.82,Target
7.110657215118408,0.84,Target
7.110657215118408,0.86,Target
7.110657215118408,0.88,Target
7.110657215118408,0.9,Target
7.110657215118408,0.92,Target
7.110657215118408,0.94,Target
7.110657215118408,0.96,Target
7.110657215118408,0.98,Target
7.110657215118408,1.0,Target
