cumulative_sum,alpha,method
-7.7444485284778795,0.0,IG
311.1499374922622,0.02,IG
299.2911968555009,0.04,IG
217.05231573136075,0.06,IG
171.38952843133546,0.08,IG
141.21485139207704,0.1,IG
121.03529081370284,0.12,IG
105.26318019902317,0.14,IG
93.26409770492114,0.16,IG
83.84548030088528,0.18,IG
76.1617826657401,0.2,IG
69.8257085190024,0.22,IG
64.42312398318919,0.24,IG
59.813153631789866,0.26,IG
55.8322826818221,0.28,IG
52.400415785980584,0.3,IG
49.35531385520548,0.32,IG
46.6433665041828,0.34,IG
44.19178035712233,0.36,IG
41.95503557057132,0.38,IG
39.980080607550434,0.4,IG
38.181224512784574,0.42,IG
36.57191321685263,0.44,IG
35.1161991162769,0.46,IG
33.76253454806081,0.48,IG
32.54256773319029,0.5,IG
31.413502294839766,0.52,IG
30.377499802438827,0.54,IG
29.412930431862,0.56,IG
28.510603142249057,0.58,IG
27.649199534334677,0.6,IG
26.83668318053852,0.62,IG
26.06813596532088,0.64,IG
25.340187987372243,0.66,IG
24.64986919814824,0.68,IG
23.996946660195974,0.7,IG
23.374673907296295,0.72,IG
22.788644269972405,0.74,IG
22.23785858904024,0.76,IG
21.717063993834238,0.78,IG
21.219541110266338,0.8,IG
20.74751978092108,0.82,IG
20.270095846881492,0.84,IG
19.830498243028195,0.86,IG
19.4041058170074,0.88,IG
18.994920698742195,0.9,IG
18.60632183135122,0.92,IG
18.233982014275195,0.94,IG
17.876904214842984,0.96,IG
17.53507376344014,0.98,IG
17.20592248119228,1.0,IG
9.737344741821289,0.0,Target
9.737344741821289,0.02,Target
9.737344741821289,0.04,Target
9.737344741821289,0.06,Target
9.737344741821289,0.08,Target
9.737344741821289,0.1,Target
9.737344741821289,0.12,Target
9.737344741821289,0.14,Target
9.737344741821289,0.16,Target
9.737344741821289,0.18,Target
9.737344741821289,0.2,Target
9.737344741821289,0.22,Target
9.737344741821289,0.24,Target
9.737344741821289,0.26,Target
9.737344741821289,0.28,Target
9.737344741821289,0.3,Target
9.737344741821289,0.32,Target
9.737344741821289,0.34,Target
9.737344741821289,0.36,Target
9.737344741821289,0.38,Target
9.737344741821289,0.4,Target
9.737344741821289,0.42,Target
9.737344741821289,0.44,Target
9.737344741821289,0.46,Target
9.737344741821289,0.48,Target
9.737344741821289,0.5,Target
9.737344741821289,0.52,Target
9.737344741821289,0.54,Target
9.737344741821289,0.56,Target
9.737344741821289,0.58,Target
9.737344741821289,0.6,Target
9.737344741821289,0.62,Target
9.737344741821289,0.64,Target
9.737344741821289,0.66,Target
9.737344741821289,0.68,Target
9.737344741821289,0.7,Target
9.737344741821289,0.72,Target
9.737344741821289,0.74,Target
9.737344741821289,0.76,Target
9.737344741821289,0.78,Target
9.737344741821289,0.8,Target
9.737344741821289,0.82,Target
9.737344741821289,0.84,Target
9.737344741821289,0.86,Target
9.737344741821289,0.88,Target
9.737344741821289,0.9,Target
9.737344741821289,0.92,Target
9.737344741821289,0.94,Target
9.737344741821289,0.96,Target
9.737344741821289,0.98,Target
9.737344741821289,1.0,Target
