cumulative_sum,alpha,method
-12.094900081842457,0.0,IG
-1.5042124494945721,0.02,IG
0.6396626554201009,0.04,IG
0.4214283199842779,0.06,IG
0.09456682744044412,0.08,IG
0.7825161151375036,0.1,IG
1.284527546063795,0.12,IG
1.6206823928222978,0.14,IG
1.1802154003470817,0.16,IG
1.27524863447504,0.18,IG
1.2424150314745515,0.2,IG
1.482928781339261,0.22,IG
1.5579444513605973,0.24,IG
1.6464329459115257,0.26,IG
1.7014235853538981,0.28,IG
1.9075343645335332,0.3,IG
2.163030299479823,0.32,IG
2.324185127195554,0.34,IG
2.454209786518666,0.36,IG
2.62710972876043,0.38,IG
2.9001803171108547,0.4,IG
3.2436852099764093,0.42,IG
3.8425602620818498,0.44,IG
4.443998004025118,0.46,IG
5.019165944018528,0.48,IG
5.517898770729649,0.5,IG
6.165319446032586,0.52,IG
6.825993949178537,0.54,IG
7.400302076752484,0.56,IG
8.09496334426315,0.58,IG
9.045903372630312,0.6,IG
10.037959311199769,0.62,IG
11.170389773462498,0.64,IG
11.88100622302305,0.66,IG
11.87729226419083,0.68,IG
11.91993136064702,0.7,IG
11.834229776815503,0.72,IG
11.687818013368082,0.74,IG
11.569001387412856,0.76,IG
11.283450009560653,0.78,IG
10.990106345427016,0.8,IG
10.69950728692499,0.82,IG
10.44797431538153,0.84,IG
10.205727961002966,0.86,IG
10.020809201870321,0.88,IG
9.775208594652725,0.9,IG
9.591358830512187,0.92,IG
9.28193032745019,0.94,IG
9.055360700718929,0.96,IG
8.845820329362347,0.98,IG
8.644762983268105,1.0,IG
9.008964538574219,0.0,Target
9.008964538574219,0.02,Target
9.008964538574219,0.04,Target
9.008964538574219,0.06,Target
9.008964538574219,0.08,Target
9.008964538574219,0.1,Target
9.008964538574219,0.12,Target
9.008964538574219,0.14,Target
9.008964538574219,0.16,Target
9.008964538574219,0.18,Target
9.008964538574219,0.2,Target
9.008964538574219,0.22,Target
9.008964538574219,0.24,Target
9.008964538574219,0.26,Target
9.008964538574219,0.28,Target
9.008964538574219,0.3,Target
9.008964538574219,0.32,Target
9.008964538574219,0.34,Target
9.008964538574219,0.36,Target
9.008964538574219,0.38,Target
9.008964538574219,0.4,Target
9.008964538574219,0.42,Target
9.008964538574219,0.44,Target
9.008964538574219,0.46,Target
9.008964538574219,0.48,Target
9.008964538574219,0.5,Target
9.008964538574219,0.52,Target
9.008964538574219,0.54,Target
9.008964538574219,0.56,Target
9.008964538574219,0.58,Target
9.008964538574219,0.6,Target
9.008964538574219,0.62,Target
9.008964538574219,0.64,Target
9.008964538574219,0.66,Target
9.008964538574219,0.68,Target
9.008964538574219,0.7,Target
9.008964538574219,0.72,Target
9.008964538574219,0.74,Target
9.008964538574219,0.76,Target
9.008964538574219,0.78,Target
9.008964538574219,0.8,Target
9.008964538574219,0.82,Target
9.008964538574219,0.84,Target
9.008964538574219,0.86,Target
9.008964538574219,0.88,Target
9.008964538574219,0.9,Target
9.008964538574219,0.92,Target
9.008964538574219,0.94,Target
9.008964538574219,0.96,Target
9.008964538574219,0.98,Target
9.008964538574219,1.0,Target
