cumulative_sum,sample,method
1.1702938107145096,0,IG
19.6943942809865,1,IG
12.879392510967214,2,IG
9.527309461978206,3,IG
9.546542788688114,4,IG
8.526118227538742,5,IG
11.520182532236639,6,IG
11.32287942214117,7,IG
10.567415047205438,8,IG
9.238253191435366,9,IG
10.947073314155,10,IG
11.384515486568718,11,IG
12.387394129479407,12,IG
12.865324456328118,13,IG
13.424770306744541,14,IG
14.464453585908757,15,IG
14.109396124020991,16,IG
13.32847668251898,17,IG
12.707751232599188,18,IG
12.07178027994523,19,IG
12.959071395299402,20,IG
13.375050974719363,21,IG
13.800528000671699,22,IG
13.34883159491025,23,IG
12.91645944643162,24,IG
12.197534544427759,25,IG
11.381872509111448,26,IG
10.886080232727297,27,IG
11.486624607512818,28,IG
11.189479485440167,29,IG
10.63510458595195,30,IG
10.342507708268016,31,IG
10.548069389910765,32,IG
10.398597137171286,33,IG
10.11337165625831,34,IG
9.902816471802542,35,IG
9.536931034315991,36,IG
12.986145160589633,37,IG
12.612532690466145,38,IG
12.80205515794637,39,IG
12.605670952844664,40,IG
12.247515852827876,41,IG
12.180763152969734,42,IG
11.87878306796384,43,IG
11.6176503013357,44,IG
11.358377161723382,45,IG
11.249819460454962,46,IG
12.31313105658709,47,IG
12.091235504334746,48,IG
12.409905274688882,49,IG
12.029462432644808,50,IG
10.528553009033203,0,Target
10.528553009033203,1,Target
10.528553009033203,2,Target
10.528553009033203,3,Target
10.528553009033203,4,Target
10.528553009033203,5,Target
10.528553009033203,6,Target
10.528553009033203,7,Target
10.528553009033203,8,Target
10.528553009033203,9,Target
10.528553009033203,10,Target
10.528553009033203,11,Target
10.528553009033203,12,Target
10.528553009033203,13,Target
10.528553009033203,14,Target
10.528553009033203,15,Target
10.528553009033203,16,Target
10.528553009033203,17,Target
10.528553009033203,18,Target
10.528553009033203,19,Target
10.528553009033203,20,Target
10.528553009033203,21,Target
10.528553009033203,22,Target
10.528553009033203,23,Target
10.528553009033203,24,Target
10.528553009033203,25,Target
10.528553009033203,26,Target
10.528553009033203,27,Target
10.528553009033203,28,Target
10.528553009033203,29,Target
10.528553009033203,30,Target
10.528553009033203,31,Target
10.528553009033203,32,Target
10.528553009033203,33,Target
10.528553009033203,34,Target
10.528553009033203,35,Target
10.528553009033203,36,Target
10.528553009033203,37,Target
10.528553009033203,38,Target
10.528553009033203,39,Target
10.528553009033203,40,Target
10.528553009033203,41,Target
10.528553009033203,42,Target
10.528553009033203,43,Target
10.528553009033203,44,Target
10.528553009033203,45,Target
10.528553009033203,46,Target
10.528553009033203,47,Target
10.528553009033203,48,Target
10.528553009033203,49,Target
10.528553009033203,50,Target
