cumulative_sum,alpha,method
36.677872446235895,0.0,IG
156.47028966203305,0.02,IG
137.79728218189067,0.04,IG
113.65314320165392,0.06,IG
92.96417344272378,0.08,IG
79.9807299899491,0.1,IG
69.31200376383842,0.12,IG
60.825376561691854,0.14,IG
54.265755197345946,0.16,IG
49.35336034171921,0.18,IG
45.24479859108159,0.2,IG
41.64928050245049,0.22,IG
38.52935788949807,0.24,IG
35.96294900407125,0.26,IG
33.661692395579806,0.28,IG
31.637637628091582,0.3,IG
29.79725677225735,0.32,IG
28.129116028016256,0.34,IG
26.63077402921212,0.36,IG
25.236985607913155,0.38,IG
23.99760284017115,0.4,IG
22.853026252303334,0.42,IG
21.812696036627557,0.44,IG
20.85442178942234,0.46,IG
19.96188575718742,0.48,IG
19.147878178388762,0.5,IG
18.401613959194993,0.52,IG
17.70807031835753,0.54,IG
17.075772816607348,0.56,IG
16.493723726972412,0.58,IG
15.940510281069987,0.6,IG
15.419202362879467,0.62,IG
14.933223792305753,0.64,IG
14.481590245082533,0.66,IG
14.054984674946127,0.68,IG
13.64580762128224,0.7,IG
13.263588114678264,0.72,IG
12.905784656583704,0.74,IG
12.57362904988577,0.76,IG
12.26285387311543,0.78,IG
11.965136751914434,0.8,IG
11.675121877602331,0.82,IG
11.392944896904313,0.84,IG
11.122130440056278,0.86,IG
10.862977087232732,0.88,IG
10.61520857874112,0.9,IG
10.380952126153499,0.92,IG
10.158012562495236,0.94,IG
9.945577295010564,0.96,IG
9.738737111898669,0.98,IG
9.535004589231344,1.0,IG
11.763714790344238,0.0,Target
11.763714790344238,0.02,Target
11.763714790344238,0.04,Target
11.763714790344238,0.06,Target
11.763714790344238,0.08,Target
11.763714790344238,0.1,Target
11.763714790344238,0.12,Target
11.763714790344238,0.14,Target
11.763714790344238,0.16,Target
11.763714790344238,0.18,Target
11.763714790344238,0.2,Target
11.763714790344238,0.22,Target
11.763714790344238,0.24,Target
11.763714790344238,0.26,Target
11.763714790344238,0.28,Target
11.763714790344238,0.3,Target
11.763714790344238,0.32,Target
11.763714790344238,0.34,Target
11.763714790344238,0.36,Target
11.763714790344238,0.38,Target
11.763714790344238,0.4,Target
11.763714790344238,0.42,Target
11.763714790344238,0.44,Target
11.763714790344238,0.46,Target
11.763714790344238,0.48,Target
11.763714790344238,0.5,Target
11.763714790344238,0.52,Target
11.763714790344238,0.54,Target
11.763714790344238,0.56,Target
11.763714790344238,0.58,Target
11.763714790344238,0.6,Target
11.763714790344238,0.62,Target
11.763714790344238,0.64,Target
11.763714790344238,0.66,Target
11.763714790344238,0.68,Target
11.763714790344238,0.7,Target
11.763714790344238,0.72,Target
11.763714790344238,0.74,Target
11.763714790344238,0.76,Target
11.763714790344238,0.78,Target
11.763714790344238,0.8,Target
11.763714790344238,0.82,Target
11.763714790344238,0.84,Target
11.763714790344238,0.86,Target
11.763714790344238,0.88,Target
11.763714790344238,0.9,Target
11.763714790344238,0.92,Target
11.763714790344238,0.94,Target
11.763714790344238,0.96,Target
11.763714790344238,0.98,Target
11.763714790344238,1.0,Target
