cumulative_sum,alpha,method
0.23277419403604482,0.0,IG
0.1844448074106848,0.02,IG
-0.5302275098290704,0.04,IG
-0.7957955890774402,0.06,IG
-1.0052752883519664,0.08,IG
-0.6789653778903516,0.1,IG
-0.5389998522139412,0.12,IG
-0.3954060623260508,0.14,IG
-0.21649864663478022,0.16,IG
-0.04271887477142174,0.18,IG
0.08662122371258772,0.2,IG
0.06889470459631584,0.22,IG
0.049666509703870876,0.24,IG
0.031105172971181774,0.26,IG
0.04531259306505171,0.28,IG
0.049297538270193286,0.3,IG
0.06871082936433316,0.32,IG
0.1178217185457451,0.34,IG
0.1493625148494694,0.36,IG
0.1452586989441541,0.38,IG
0.1478471938287516,0.4,IG
0.1343726558190114,0.42,IG
0.2591490336311785,0.44,IG
0.3849491580013129,0.46,IG
0.37536144760597623,0.48,IG
0.2949054427803386,0.5,IG
0.2593507475796203,0.52,IG
0.44203852751860984,0.54,IG
1.163532574103837,0.56,IG
2.460069279982572,0.58,IG
3.5248520199294924,0.6,IG
5.001233139659178,0.62,IG
7.30541665704848,0.64,IG
9.605715354689197,0.66,IG
12.292512240099228,0.68,IG
13.411188896088726,0.7,IG
13.700111231787545,0.72,IG
13.475951275624809,0.74,IG
13.094885821471959,0.76,IG
12.626355094548327,0.78,IG
12.240665122433645,0.8,IG
11.778781640145525,0.82,IG
11.374579054825773,0.84,IG
10.899985648769242,0.86,IG
10.65787791170952,0.88,IG
10.447378584156672,0.9,IG
10.294334658918785,0.92,IG
9.961653637818392,0.94,IG
9.666124150219844,0.96,IG
9.519172565962926,0.98,IG
9.349656683095338,1.0,IG
10.08723258972168,0.0,Target
10.08723258972168,0.02,Target
10.08723258972168,0.04,Target
10.08723258972168,0.06,Target
10.08723258972168,0.08,Target
10.08723258972168,0.1,Target
10.08723258972168,0.12,Target
10.08723258972168,0.14,Target
10.08723258972168,0.16,Target
10.08723258972168,0.18,Target
10.08723258972168,0.2,Target
10.08723258972168,0.22,Target
10.08723258972168,0.24,Target
10.08723258972168,0.26,Target
10.08723258972168,0.28,Target
10.08723258972168,0.3,Target
10.08723258972168,0.32,Target
10.08723258972168,0.34,Target
10.08723258972168,0.36,Target
10.08723258972168,0.38,Target
10.08723258972168,0.4,Target
10.08723258972168,0.42,Target
10.08723258972168,0.44,Target
10.08723258972168,0.46,Target
10.08723258972168,0.48,Target
10.08723258972168,0.5,Target
10.08723258972168,0.52,Target
10.08723258972168,0.54,Target
10.08723258972168,0.56,Target
10.08723258972168,0.58,Target
10.08723258972168,0.6,Target
10.08723258972168,0.62,Target
10.08723258972168,0.64,Target
10.08723258972168,0.66,Target
10.08723258972168,0.68,Target
10.08723258972168,0.7,Target
10.08723258972168,0.72,Target
10.08723258972168,0.74,Target
10.08723258972168,0.76,Target
10.08723258972168,0.78,Target
10.08723258972168,0.8,Target
10.08723258972168,0.82,Target
10.08723258972168,0.84,Target
10.08723258972168,0.86,Target
10.08723258972168,0.88,Target
10.08723258972168,0.9,Target
10.08723258972168,0.92,Target
10.08723258972168,0.94,Target
10.08723258972168,0.96,Target
10.08723258972168,0.98,Target
10.08723258972168,1.0,Target
