cumulative_sum,alpha,method
-0.4060768075311545,0.0,IG
-1.318192996629973,0.02,IG
-1.354851985374781,0.04,IG
-0.9912409849331767,0.06,IG
-0.9807288260584203,0.08,IG
-0.7458425731713476,0.1,IG
-0.6479777274035436,0.12,IG
-0.47606439040000637,0.14,IG
-0.28077865083748327,0.16,IG
-0.22940279434669414,0.18,IG
-0.4277454440086168,0.2,IG
-0.586579161521883,0.22,IG
-0.6720668345720284,0.24,IG
-0.8737100340334079,0.26,IG
-0.770630962768014,0.28,IG
-0.8398341679776976,0.3,IG
-0.8590835859609286,0.32,IG
-0.7431059333301089,0.34,IG
-0.9062869700074799,0.36,IG
-0.952391934479693,0.38,IG
-0.9494819715851271,0.4,IG
-0.892805084415655,0.42,IG
-0.8840006086026979,0.44,IG
-0.8647448005406846,0.46,IG
-0.8979244486154407,0.48,IG
-1.0478513738645057,0.5,IG
-1.2767219352279977,0.52,IG
-1.3530724544536659,0.54,IG
-1.200394845549658,0.56,IG
-1.0999612270394854,0.58,IG
-0.9542272654469093,0.6,IG
-0.3871887299249459,0.62,IG
0.3085278840573315,0.64,IG
1.125124267887911,0.66,IG
3.1575656436369113,0.68,IG
6.38585844863349,0.7,IG
11.208738959865759,0.72,IG
14.244626434213243,0.74,IG
14.074133889521631,0.76,IG
13.383763367448113,0.78,IG
13.059454942428633,0.8,IG
12.677179086604731,0.82,IG
12.386325903337989,0.84,IG
12.031732405276822,0.86,IG
11.719203436109657,0.88,IG
11.556675805047702,0.9,IG
11.483871126787019,0.92,IG
11.30516133391239,0.94,IG
11.131299179687481,0.96,IG
10.93429718655258,0.98,IG
10.791134188624829,1.0,IG
10.419151306152344,0.0,Target
10.419151306152344,0.02,Target
10.419151306152344,0.04,Target
10.419151306152344,0.06,Target
10.419151306152344,0.08,Target
10.419151306152344,0.1,Target
10.419151306152344,0.12,Target
10.419151306152344,0.14,Target
10.419151306152344,0.16,Target
10.419151306152344,0.18,Target
10.419151306152344,0.2,Target
10.419151306152344,0.22,Target
10.419151306152344,0.24,Target
10.419151306152344,0.26,Target
10.419151306152344,0.28,Target
10.419151306152344,0.3,Target
10.419151306152344,0.32,Target
10.419151306152344,0.34,Target
10.419151306152344,0.36,Target
10.419151306152344,0.38,Target
10.419151306152344,0.4,Target
10.419151306152344,0.42,Target
10.419151306152344,0.44,Target
10.419151306152344,0.46,Target
10.419151306152344,0.48,Target
10.419151306152344,0.5,Target
10.419151306152344,0.52,Target
10.419151306152344,0.54,Target
10.419151306152344,0.56,Target
10.419151306152344,0.58,Target
10.419151306152344,0.6,Target
10.419151306152344,0.62,Target
10.419151306152344,0.64,Target
10.419151306152344,0.66,Target
10.419151306152344,0.68,Target
10.419151306152344,0.7,Target
10.419151306152344,0.72,Target
10.419151306152344,0.74,Target
10.419151306152344,0.76,Target
10.419151306152344,0.78,Target
10.419151306152344,0.8,Target
10.419151306152344,0.82,Target
10.419151306152344,0.84,Target
10.419151306152344,0.86,Target
10.419151306152344,0.88,Target
10.419151306152344,0.9,Target
10.419151306152344,0.92,Target
10.419151306152344,0.94,Target
10.419151306152344,0.96,Target
10.419151306152344,0.98,Target
10.419151306152344,1.0,Target
