cumulative_sum,alpha,method
-0.10769308306753214,0.0,IG
-0.3066039812407993,0.02,IG
-0.2976472096200264,0.04,IG
-0.13581538011910216,0.06,IG
0.03478255243222067,0.08,IG
0.1297928993683457,0.1,IG
-0.01485028586223544,0.12,IG
-0.008352814285962004,0.14,IG
-0.046510179768025205,0.16,IG
-0.16676790454629725,0.18,IG
-0.25646274757498755,0.2,IG
-0.14060079308643164,0.22,IG
-0.088443082917403,0.24,IG
-0.08165669158979882,0.26,IG
-0.11000971413855205,0.28,IG
-0.10555510138461519,0.3,IG
-0.11483132697230168,0.32,IG
-0.11621676905768176,0.34,IG
-0.05549268944920105,0.36,IG
0.019959072019808892,0.38,IG
0.039553927343045095,0.4,IG
0.15707224679250947,0.42,IG
0.39690514989052783,0.44,IG
0.6802724551272088,0.46,IG
0.7612265094350449,0.48,IG
0.8163616499940167,0.5,IG
0.9680905445571192,0.52,IG
1.0945704372779568,0.54,IG
1.3794552862494631,0.56,IG
1.742980969784828,0.58,IG
2.698842829663858,0.6,IG
5.35723869042691,0.62,IG
8.204572937410774,0.64,IG
9.492080888557838,0.66,IG
10.252237217424604,0.68,IG
10.95662558336577,0.7,IG
11.940312490638922,0.72,IG
12.874378524639571,0.74,IG
13.159176174106,0.76,IG
12.931098661499101,0.78,IG
12.788731182156306,0.8,IG
12.424891462562949,0.82,IG
12.073946780086265,0.84,IG
11.762287480468336,0.86,IG
11.543613257507348,0.88,IG
11.297131208964164,0.9,IG
11.038358547723103,0.92,IG
10.874444355097117,0.94,IG
10.673362572654252,0.96,IG
10.420374719634113,0.98,IG
10.210560562470818,1.0,IG
10.296868324279785,0.0,Target
10.296868324279785,0.02,Target
10.296868324279785,0.04,Target
10.296868324279785,0.06,Target
10.296868324279785,0.08,Target
10.296868324279785,0.1,Target
10.296868324279785,0.12,Target
10.296868324279785,0.14,Target
10.296868324279785,0.16,Target
10.296868324279785,0.18,Target
10.296868324279785,0.2,Target
10.296868324279785,0.22,Target
10.296868324279785,0.24,Target
10.296868324279785,0.26,Target
10.296868324279785,0.28,Target
10.296868324279785,0.3,Target
10.296868324279785,0.32,Target
10.296868324279785,0.34,Target
10.296868324279785,0.36,Target
10.296868324279785,0.38,Target
10.296868324279785,0.4,Target
10.296868324279785,0.42,Target
10.296868324279785,0.44,Target
10.296868324279785,0.46,Target
10.296868324279785,0.48,Target
10.296868324279785,0.5,Target
10.296868324279785,0.52,Target
10.296868324279785,0.54,Target
10.296868324279785,0.56,Target
10.296868324279785,0.58,Target
10.296868324279785,0.6,Target
10.296868324279785,0.62,Target
10.296868324279785,0.64,Target
10.296868324279785,0.66,Target
10.296868324279785,0.68,Target
10.296868324279785,0.7,Target
10.296868324279785,0.72,Target
10.296868324279785,0.74,Target
10.296868324279785,0.76,Target
10.296868324279785,0.78,Target
10.296868324279785,0.8,Target
10.296868324279785,0.82,Target
10.296868324279785,0.84,Target
10.296868324279785,0.86,Target
10.296868324279785,0.88,Target
10.296868324279785,0.9,Target
10.296868324279785,0.92,Target
10.296868324279785,0.94,Target
10.296868324279785,0.96,Target
10.296868324279785,0.98,Target
10.296868324279785,1.0,Target
