cumulative_sum,alpha,method
-0.2953340187036644,0.0,IG
-0.66960355036584,0.02,IG
-1.1087194993029001,0.04,IG
-1.3743523975237548,0.06,IG
-1.3590663223400279,0.08,IG
-1.252720321209527,0.1,IG
-1.0394777112086262,0.12,IG
-0.9533407720814828,0.14,IG
-0.9243417757816268,0.16,IG
-0.6390826114426391,0.18,IG
-0.22184969458992781,0.2,IG
0.05644497286038058,0.22,IG
0.32722846336391953,0.24,IG
0.6335661644998376,0.26,IG
0.8730482143099176,0.28,IG
1.0234559117259048,0.3,IG
1.1366367428108535,0.32,IG
1.249508770875469,0.34,IG
1.3824471992332938,0.36,IG
1.4474956763359,0.38,IG
1.4138258523980922,0.4,IG
1.3046617729199264,0.42,IG
1.1871312570030583,0.44,IG
1.239687587148163,0.46,IG
1.6054844455717907,0.48,IG
2.555642570929311,0.5,IG
4.034049528495982,0.52,IG
5.804900124238347,0.54,IG
7.697820758585839,0.56,IG
9.476997889812498,0.58,IG
10.652079562800832,0.6,IG
11.411163491767981,0.62,IG
12.021031234051385,0.64,IG
12.522874909992003,0.66,IG
12.884542598990492,0.68,IG
13.213214911563572,0.7,IG
13.48588750489355,0.72,IG
13.647228349788707,0.74,IG
13.904836181886933,0.76,IG
13.675762759650368,0.78,IG
13.386276027171508,0.8,IG
12.839317068384457,0.82,IG
12.49066215465241,0.84,IG
12.122920350919058,0.86,IG
11.865655844559742,0.88,IG
11.688292570902322,0.9,IG
11.545598313729762,0.92,IG
11.344029932165899,0.94,IG
11.257128903728184,0.96,IG
11.166185312106155,0.98,IG
11.064169426282108,1.0,IG
11.09317398071289,0.0,Target
11.09317398071289,0.02,Target
11.09317398071289,0.04,Target
11.09317398071289,0.06,Target
11.09317398071289,0.08,Target
11.09317398071289,0.1,Target
11.09317398071289,0.12,Target
11.09317398071289,0.14,Target
11.09317398071289,0.16,Target
11.09317398071289,0.18,Target
11.09317398071289,0.2,Target
11.09317398071289,0.22,Target
11.09317398071289,0.24,Target
11.09317398071289,0.26,Target
11.09317398071289,0.28,Target
11.09317398071289,0.3,Target
11.09317398071289,0.32,Target
11.09317398071289,0.34,Target
11.09317398071289,0.36,Target
11.09317398071289,0.38,Target
11.09317398071289,0.4,Target
11.09317398071289,0.42,Target
11.09317398071289,0.44,Target
11.09317398071289,0.46,Target
11.09317398071289,0.48,Target
11.09317398071289,0.5,Target
11.09317398071289,0.52,Target
11.09317398071289,0.54,Target
11.09317398071289,0.56,Target
11.09317398071289,0.58,Target
11.09317398071289,0.6,Target
11.09317398071289,0.62,Target
11.09317398071289,0.64,Target
11.09317398071289,0.66,Target
11.09317398071289,0.68,Target
11.09317398071289,0.7,Target
11.09317398071289,0.72,Target
11.09317398071289,0.74,Target
11.09317398071289,0.76,Target
11.09317398071289,0.78,Target
11.09317398071289,0.8,Target
11.09317398071289,0.82,Target
11.09317398071289,0.84,Target
11.09317398071289,0.86,Target
11.09317398071289,0.88,Target
11.09317398071289,0.9,Target
11.09317398071289,0.92,Target
11.09317398071289,0.94,Target
11.09317398071289,0.96,Target
11.09317398071289,0.98,Target
11.09317398071289,1.0,Target
