cumulative_sum,alpha,method
0.0,0.0,IG
0.0,0.02,IG
0.0,0.04,IG
0.0,0.06,IG
0.0,0.08,IG
0.0,0.1,IG
0.0,0.12,IG
0.0,0.14,IG
0.0,0.16,IG
0.0,0.18,IG
0.0,0.2,IG
0.0,0.22,IG
0.0,0.24,IG
0.0,0.26,IG
0.0,0.28,IG
0.0,0.3,IG
0.0,0.32,IG
0.0,0.34,IG
0.0,0.36,IG
0.0,0.38,IG
0.0,0.4,IG
0.0,0.42,IG
0.0,0.44,IG
0.0,0.46,IG
0.0,0.48,IG
0.0,0.5,IG
0.0,0.52,IG
0.0,0.54,IG
0.0,0.56,IG
0.0,0.58,IG
0.0,0.6,IG
0.0,0.62,IG
0.0,0.64,IG
0.0,0.66,IG
0.0,0.68,IG
0.0,0.7,IG
0.0,0.72,IG
0.0,0.74,IG
0.0,0.76,IG
0.0,0.78,IG
0.0,0.8,IG
0.0,0.82,IG
0.0,0.84,IG
0.0,0.86,IG
0.0,0.88,IG
0.0,0.9,IG
0.0,0.92,IG
0.0,0.94,IG
0.0,0.96,IG
0.0,0.98,IG
0.0,1.0,IG
0.0,0.0,Target
0.0,0.02,Target
0.0,0.04,Target
0.0,0.06,Target
0.0,0.08,Target
0.0,0.1,Target
0.0,0.12,Target
0.0,0.14,Target
0.0,0.16,Target
0.0,0.18,Target
0.0,0.2,Target
0.0,0.22,Target
0.0,0.24,Target
0.0,0.26,Target
0.0,0.28,Target
0.0,0.3,Target
0.0,0.32,Target
0.0,0.34,Target
0.0,0.36,Target
0.0,0.38,Target
0.0,0.4,Target
0.0,0.42,Target
0.0,0.44,Target
0.0,0.46,Target
0.0,0.48,Target
0.0,0.5,Target
0.0,0.52,Target
0.0,0.54,Target
0.0,0.56,Target
0.0,0.58,Target
0.0,0.6,Target
0.0,0.62,Target
0.0,0.64,Target
0.0,0.66,Target
0.0,0.68,Target
0.0,0.7,Target
0.0,0.72,Target
0.0,0.74,Target
0.0,0.76,Target
0.0,0.78,Target
0.0,0.8,Target
0.0,0.82,Target
0.0,0.84,Target
0.0,0.86,Target
0.0,0.88,Target
0.0,0.9,Target
0.0,0.92,Target
0.0,0.94,Target
0.0,0.96,Target
0.0,0.98,Target
0.0,1.0,Target
