cumulative_sum,sample,method
-4.232560723645451,0,IG
15.224682789556141,1,IG
14.729670788823265,2,IG
16.103263495592785,3,IG
15.678619562384418,4,IG
12.894080082193797,5,IG
10.664811644520732,6,IG
10.103971746103184,7,IG
8.714422217346359,8,IG
7.379071947903958,9,IG
6.963875535922151,10,IG
6.878573328967735,11,IG
8.278716344110622,12,IG
7.651140002614349,13,IG
6.748956966347577,14,IG
7.15506578353984,15,IG
6.804734453720597,16,IG
6.786313528529566,17,IG
6.505345437460765,18,IG
6.472559857522537,19,IG
6.454555096432288,20,IG
6.150001040149964,21,IG
6.300179320388173,22,IG
5.840326073999619,23,IG
6.746979141683185,24,IG
6.578081470314167,25,IG
6.393939097361001,26,IG
6.160367085509115,27,IG
5.981902843805216,28,IG
6.042782146227929,29,IG
5.887743522733186,30,IG
5.966830568879232,31,IG
5.816611420472196,32,IG
5.627342949892402,33,IG
5.9074060194256175,34,IG
5.683753914035858,35,IG
5.902682050076693,36,IG
5.828767009649469,37,IG
5.6513426163043725,38,IG
5.973200836073147,39,IG
6.944830470750376,40,IG
6.818840945672687,41,IG
6.816937257624349,42,IG
6.698394193058624,43,IG
7.841819117998317,44,IG
7.717466593944407,45,IG
7.582936116869666,46,IG
7.412188801472714,47,IG
7.166802283643288,48,IG
7.2907565035300825,49,IG
7.1770534883686805,50,IG
11.026382446289062,0,Target
11.026382446289062,1,Target
11.026382446289062,2,Target
11.026382446289062,3,Target
11.026382446289062,4,Target
11.026382446289062,5,Target
11.026382446289062,6,Target
11.026382446289062,7,Target
11.026382446289062,8,Target
11.026382446289062,9,Target
11.026382446289062,10,Target
11.026382446289062,11,Target
11.026382446289062,12,Target
11.026382446289062,13,Target
11.026382446289062,14,Target
11.026382446289062,15,Target
11.026382446289062,16,Target
11.026382446289062,17,Target
11.026382446289062,18,Target
11.026382446289062,19,Target
11.026382446289062,20,Target
11.026382446289062,21,Target
11.026382446289062,22,Target
11.026382446289062,23,Target
11.026382446289062,24,Target
11.026382446289062,25,Target
11.026382446289062,26,Target
11.026382446289062,27,Target
11.026382446289062,28,Target
11.026382446289062,29,Target
11.026382446289062,30,Target
11.026382446289062,31,Target
11.026382446289062,32,Target
11.026382446289062,33,Target
11.026382446289062,34,Target
11.026382446289062,35,Target
11.026382446289062,36,Target
11.026382446289062,37,Target
11.026382446289062,38,Target
11.026382446289062,39,Target
11.026382446289062,40,Target
11.026382446289062,41,Target
11.026382446289062,42,Target
11.026382446289062,43,Target
11.026382446289062,44,Target
11.026382446289062,45,Target
11.026382446289062,46,Target
11.026382446289062,47,Target
11.026382446289062,48,Target
11.026382446289062,49,Target
11.026382446289062,50,Target
