cumulative_sum,alpha,method
-7.259870139565759,0.0,IG
203.25673730174276,0.02,IG
144.25615350341042,0.04,IG
113.1111295927582,0.06,IG
89.32028737533746,0.08,IG
76.91477447790464,0.1,IG
67.40290367329636,0.12,IG
59.812676528003834,0.14,IG
54.45501125316486,0.16,IG
49.72964246611504,0.18,IG
45.67262261618893,0.2,IG
42.22769616101142,0.22,IG
39.27582406149414,0.24,IG
36.742231672593874,0.26,IG
34.471576337496614,0.28,IG
32.38859223811281,0.3,IG
30.51310099438038,0.32,IG
28.906879807348606,0.34,IG
27.429840086543415,0.36,IG
26.062896777286458,0.38,IG
24.811886990027936,0.4,IG
23.72445708196595,0.42,IG
22.774924494844253,0.44,IG
21.906191462028854,0.46,IG
21.09626494239044,0.48,IG
20.350241343948998,0.5,IG
19.64108115563734,0.52,IG
18.964249233342507,0.54,IG
18.35006425649653,0.56,IG
17.7560162289577,0.58,IG
17.18526672456417,0.6,IG
16.666482014531482,0.62,IG
16.168040596278214,0.64,IG
15.6957539346565,0.66,IG
15.247672944285869,0.68,IG
14.828373014171103,0.7,IG
14.426098092117513,0.72,IG
14.040616578307416,0.74,IG
13.664509712293595,0.76,IG
13.326477654614516,0.78,IG
13.001343507100945,0.8,IG
12.69598613564625,0.82,IG
12.40053981925879,0.84,IG
12.11921819351306,0.86,IG
11.848052602230318,0.88,IG
11.59304202656986,0.9,IG
11.348446325243831,0.92,IG
11.120390743028521,0.94,IG
10.898312641929717,0.96,IG
10.670700105105494,0.98,IG
10.456729903808013,1.0,IG
8.866900444030762,0.0,Target
8.866900444030762,0.02,Target
8.866900444030762,0.04,Target
8.866900444030762,0.06,Target
8.866900444030762,0.08,Target
8.866900444030762,0.1,Target
8.866900444030762,0.12,Target
8.866900444030762,0.14,Target
8.866900444030762,0.16,Target
8.866900444030762,0.18,Target
8.866900444030762,0.2,Target
8.866900444030762,0.22,Target
8.866900444030762,0.24,Target
8.866900444030762,0.26,Target
8.866900444030762,0.28,Target
8.866900444030762,0.3,Target
8.866900444030762,0.32,Target
8.866900444030762,0.34,Target
8.866900444030762,0.36,Target
8.866900444030762,0.38,Target
8.866900444030762,0.4,Target
8.866900444030762,0.42,Target
8.866900444030762,0.44,Target
8.866900444030762,0.46,Target
8.866900444030762,0.48,Target
8.866900444030762,0.5,Target
8.866900444030762,0.52,Target
8.866900444030762,0.54,Target
8.866900444030762,0.56,Target
8.866900444030762,0.58,Target
8.866900444030762,0.6,Target
8.866900444030762,0.62,Target
8.866900444030762,0.64,Target
8.866900444030762,0.66,Target
8.866900444030762,0.68,Target
8.866900444030762,0.7,Target
8.866900444030762,0.72,Target
8.866900444030762,0.74,Target
8.866900444030762,0.76,Target
8.866900444030762,0.78,Target
8.866900444030762,0.8,Target
8.866900444030762,0.82,Target
8.866900444030762,0.84,Target
8.866900444030762,0.86,Target
8.866900444030762,0.88,Target
8.866900444030762,0.9,Target
8.866900444030762,0.92,Target
8.866900444030762,0.94,Target
8.866900444030762,0.96,Target
8.866900444030762,0.98,Target
8.866900444030762,1.0,Target
