k,mean_logit_fraction,sd_logit_fraction,baseline
0.0,1.0,0.0,eg
0.1,0.284684956073761,0.3910981416702271,eg
0.2,0.15791763365268707,0.30673015117645264,eg
0.3,0.0807310938835144,0.2275504320859909,eg
0.4,0.0373782254755497,0.1542692482471466,eg
0.5,0.017083298414945602,0.09878922998905182,eg
0.6,0.00964980386197567,0.07135166972875595,eg
0.7,0.007839792408049107,0.06598520278930664,eg
0.8,0.004081354942172766,0.04272296279668808,eg
0.9,0.0023677113931626077,0.018191471695899963,eg
1.0,0.007892435416579247,0.06094127893447876,eg
0.0,1.0,0.0,gaussian
0.1,0.26322558522224426,0.3757683336734772,gaussian
0.2,0.1369449496269226,0.28977063298225403,gaussian
0.3,0.06990683078765869,0.21224237978458405,gaussian
0.4,0.03712552040815354,0.15329383313655853,gaussian
0.5,0.019763974472880363,0.11188363283872604,gaussian
0.6,0.011083707213401794,0.08672279864549637,gaussian
0.7,0.008318521082401277,0.07341679185628891,gaussian
0.8,0.005594226997345686,0.05298149213194847,gaussian
0.9,0.003737588878720999,0.029896957799792286,gaussian
1.0,0.007892435416579247,0.06094127893447876,gaussian
0.0,1.0,0.0,ig
0.1,0.651725709438324,0.4414209723472595,ig
0.2,0.4954928457736969,0.4601530730724335,ig
0.3,0.3246073126792908,0.4224393963813782,ig
0.4,0.164271742105484,0.3200245499610901,ig
0.5,0.0665302723646164,0.20575222373008728,ig
0.6,0.03604508191347122,0.15637117624282834,ig
0.7,0.01901033148169517,0.11309373378753662,ig
0.8,0.01100449450314045,0.07861590385437013,ig
0.9,0.003603803226724267,0.027826087549328804,ig
1.0,0.007892437279224396,0.06094129011034965,ig
0.0,1.0,0.0,max_dist
0.1,0.5372567176818848,0.4506694376468658,max_dist
0.2,0.3117494881153107,0.4154187142848969,max_dist
0.3,0.15366284549236298,0.308116614818573,max_dist
0.4,0.056904297322034836,0.1837107092142105,max_dist
0.5,0.023256260901689533,0.11743668466806413,max_dist
0.6,0.013652523048222063,0.08769983053207397,max_dist
0.7,0.008191915228962898,0.0660598948597908,max_dist
0.8,0.0060663684271276,0.05473602190613746,max_dist
0.9,0.002967244712635875,0.021110903471708298,max_dist
1.0,0.007892435416579247,0.060941282659769065,max_dist
0.0,1.0,0.0,uniform
0.1,0.22253313660621646,0.34863778948783875,uniform
0.2,0.10012459009885788,0.2478036880493164,uniform
0.3,0.045044198632240295,0.17201802134513855,uniform
0.4,0.022906430065631863,0.1223253458738327,uniform
0.5,0.013261334039270878,0.09303496032953262,uniform
0.6,0.010711412876844406,0.08498746901750565,uniform
0.7,0.007202293723821641,0.06817501783370973,uniform
0.8,0.0049156034365296355,0.046271588653326035,uniform
0.9,0.003558093216270209,0.0255307387560606,uniform
1.0,0.007892437279224396,0.06094129011034965,uniform
0.0,1.0,0.0,blur
0.1,0.20707574486732486,0.3426229059696197,blur
0.2,0.08093875646591188,0.2277675569057465,blur
0.3,0.036288008093833916,0.14968322217464447,blur
0.4,0.021035369485616684,0.11554074287414552,blur
0.5,0.016300801187753674,0.10130733996629716,blur
0.6,0.01408842671662569,0.08923853933811188,blur
0.7,0.010906008072197436,0.08052770048379898,blur
0.8,0.009031976573169231,0.06898606568574905,blur
0.9,0.00415315479040146,0.03269214555621147,blur
1.0,0.007892435416579247,0.06094127893447876,blur
