k,mean_logit_fraction,sd_logit_fraction,baseline
0.0,1.0,0.0,eg
0.1,0.9636149406433104,0.2051129788160324,eg
0.2,0.8911528587341309,0.3236941397190094,eg
0.3,0.7869687080383301,0.4002792835235596,eg
0.4,0.6725826263427734,0.4441927075386048,eg
0.5,0.5608912706375122,0.4621520638465881,eg
0.6,0.430970311164856,0.451763242483139,eg
0.7,0.28764045238494873,0.4079311192035675,eg
0.8,0.11370661854743958,0.2510727345943451,eg
0.9,0.016451628878712654,0.08624815940856934,eg
1.0,0.008007931523025036,0.0650714561343193,eg
0.0,1.0,0.0,gaussian
0.1,0.9805321693420409,0.19296862185001373,gaussian
0.2,0.9086427092552184,0.275820255279541,gaussian
0.3,0.8214876651763916,0.35725659132003784,gaussian
0.4,0.7188253402709961,0.4262543916702271,gaussian
0.5,0.5784010291099548,0.4635226428508759,gaussian
0.6,0.4372803568840027,0.4429689943790436,gaussian
0.7,0.2792806029319763,0.3831592202186585,gaussian
0.8,0.12316977232694624,0.27201831340789795,gaussian
0.9,0.020509148016572,0.1086159646511078,gaussian
1.0,0.005590631626546383,0.03446357324719429,gaussian
0.0,1.0,0.0,ig
0.1,0.9656177759170532,0.17875172197818756,ig
0.2,0.9201644062995912,0.27749985456466675,ig
0.3,0.8343085646629333,0.3547108173370361,ig
0.4,0.7244467735290527,0.4062462151050568,ig
0.5,0.5821129083633423,0.4398793280124664,ig
0.6,0.430397629737854,0.4396748542785645,ig
0.7,0.2753287255764008,0.3828217387199402,ig
0.8,0.11564840376377104,0.2582913041114807,ig
0.9,0.010243051685392857,0.05743296816945076,ig
1.0,0.005464916117489338,0.04235832393169403,ig
0.0,1.0,0.0,max_dist
0.1,0.9755581617355348,0.15875130891799927,max_dist
0.2,0.9247539043426514,0.25826796889305115,max_dist
0.3,0.84993577003479,0.3499910533428192,max_dist
0.4,0.7402335405349731,0.4153801500797272,max_dist
0.5,0.6064150333404541,0.4383174180984497,max_dist
0.6,0.4557669758796692,0.4499702751636505,max_dist
0.7,0.291407972574234,0.4089856743812561,max_dist
0.8,0.1365814507007599,0.3028002083301544,max_dist
0.9,0.017263323068618774,0.08989179879426956,max_dist
1.0,0.004190637730062008,0.02352970652282238,max_dist
0.0,1.0,0.0,uniform
0.1,0.9739985466003418,0.1640806496143341,uniform
0.2,0.9114941954612732,0.2881660461425781,uniform
0.3,0.8353776931762695,0.3478147089481354,uniform
0.4,0.7276948094367981,0.4060493409633637,uniform
0.5,0.6058086156845093,0.4365757405757904,uniform
0.6,0.4470959901809693,0.4319050908088684,uniform
0.7,0.2790378332138061,0.37904492020607,uniform
0.8,0.11644385755062105,0.2603187561035156,uniform
0.9,0.015971805900335312,0.08474446088075638,uniform
1.0,0.004144220147281885,0.02631423994898796,uniform
0.0,1.0,0.0,blur
0.1,0.969839572906494,0.16744603216648102,blur
0.2,0.911376655101776,0.2859357893466949,blur
0.3,0.8395969867706299,0.3619888424873352,blur
0.4,0.7429978251457214,0.4401019215583801,blur
0.5,0.6051430702209473,0.4875415861606598,blur
0.6,0.4490327835083008,0.44795405864715576,blur
0.7,0.2771719992160797,0.3913518786430359,blur
0.8,0.11482278257608415,0.2606261074542999,blur
0.9,0.018310077488422397,0.09556590020656586,blur
1.0,0.009011199697852136,0.07095550000667572,blur
0.0,1.0,0.0,null_gaussian
0.1,0.9835022091865541,0.19350938498973846,null_gaussian
0.2,0.91087144613266,0.2814241349697113,null_gaussian
0.3,0.8350853323936462,0.361198753118515,null_gaussian
0.4,0.7367421388626099,0.4220260381698608,null_gaussian
0.5,0.6161643266677856,0.4615018665790558,null_gaussian
0.6,0.4813624918460846,0.4629525244235992,null_gaussian
0.7,0.31514185667037964,0.4214293360710144,null_gaussian
0.8,0.12780144810676575,0.2935824990272522,null_gaussian
0.9,0.015296906232833862,0.08126161992549896,null_gaussian
1.0,0.008007931523025036,0.0650714561343193,null_gaussian
