cumulative_sum,alpha,method
-5.6541142056493365,0.0,IG
-1.4796558477599575,0.02,IG
-2.2661569376642596,0.04,IG
-0.9884944816109273,0.06,IG
-1.2245412442726045,0.08,IG
-0.6354717484180095,0.1,IG
-0.28544128004178937,0.12,IG
0.2850200599391104,0.14,IG
0.5936800965436303,0.16,IG
1.034706675947343,0.18,IG
1.4036841654800478,0.2,IG
2.0204647202437065,0.22,IG
2.6088840060874228,0.24,IG
3.4305989002578543,0.26,IG
4.759253807297175,0.28,IG
5.539959193162449,0.3,IG
6.796102084639443,0.32,IG
8.290430295256185,0.34,IG
9.708797387905426,0.36,IG
11.179542415406951,0.38,IG
11.896361981228642,0.4,IG
12.657992964387951,0.42,IG
13.197796729763684,0.44,IG
13.961734752778952,0.46,IG
14.319252628938862,0.48,IG
14.449421844567565,0.5,IG
14.279836435234886,0.52,IG
13.939483534606923,0.54,IG
13.419961007900227,0.56,IG
12.835487953880842,0.58,IG
12.275254754183322,0.6,IG
11.812111231779522,0.62,IG
11.422479470094418,0.64,IG
10.974165979321532,0.66,IG
10.563147257418631,0.68,IG
10.179162223221706,0.7,IG
9.867109203301746,0.72,IG
9.606708644763483,0.74,IG
9.328465068857144,0.76,IG
9.066664120459926,0.78,IG
8.80916370027812,0.8,IG
8.560020455170713,0.82,IG
8.371737483883576,0.84,IG
8.003137863929666,0.86,IG
7.662691015974507,0.88,IG
7.4975391273089596,0.9,IG
7.398380767613504,0.92,IG
7.214640236679833,0.94,IG
7.005598856640539,0.96,IG
6.888193244636044,0.98,IG
6.8845593341602,1.0,IG
7.110660552978516,0.0,Target
7.110660552978516,0.02,Target
7.110660552978516,0.04,Target
7.110660552978516,0.06,Target
7.110660552978516,0.08,Target
7.110660552978516,0.1,Target
7.110660552978516,0.12,Target
7.110660552978516,0.14,Target
7.110660552978516,0.16,Target
7.110660552978516,0.18,Target
7.110660552978516,0.2,Target
7.110660552978516,0.22,Target
7.110660552978516,0.24,Target
7.110660552978516,0.26,Target
7.110660552978516,0.28,Target
7.110660552978516,0.3,Target
7.110660552978516,0.32,Target
7.110660552978516,0.34,Target
7.110660552978516,0.36,Target
7.110660552978516,0.38,Target
7.110660552978516,0.4,Target
7.110660552978516,0.42,Target
7.110660552978516,0.44,Target
7.110660552978516,0.46,Target
7.110660552978516,0.48,Target
7.110660552978516,0.5,Target
7.110660552978516,0.52,Target
7.110660552978516,0.54,Target
7.110660552978516,0.56,Target
7.110660552978516,0.58,Target
7.110660552978516,0.6,Target
7.110660552978516,0.62,Target
7.110660552978516,0.64,Target
7.110660552978516,0.66,Target
7.110660552978516,0.68,Target
7.110660552978516,0.7,Target
7.110660552978516,0.72,Target
7.110660552978516,0.74,Target
7.110660552978516,0.76,Target
7.110660552978516,0.78,Target
7.110660552978516,0.8,Target
7.110660552978516,0.82,Target
7.110660552978516,0.84,Target
7.110660552978516,0.86,Target
7.110660552978516,0.88,Target
7.110660552978516,0.9,Target
7.110660552978516,0.92,Target
7.110660552978516,0.94,Target
7.110660552978516,0.96,Target
7.110660552978516,0.98,Target
7.110660552978516,1.0,Target
