cumulative_sum,alpha,method
-5.6541140370694,0.0,IG
-4.341077227489891,0.005,IG
-5.103573720150461,0.01,IG
-3.6694959356578876,0.015,IG
-2.396546145518715,0.02,IG
-2.1865483565332613,0.025,IG
-2.1104274369474036,0.03,IG
-2.183604750007847,0.035,IG
-2.370372270020175,0.04,IG
-2.353156636065598,0.045,IG
-2.4584301329253204,0.05,IG
-2.259587408670015,0.055,IG
-1.8669658146710022,0.06,IG
-1.688709395981695,0.065,IG
-1.7062992281136433,0.07,IG
-1.7259775305708223,0.075,IG
-1.7522843146651248,0.08,IG
-1.6622971861442062,0.085,IG
-1.4358929302049206,0.09,IG
-1.3334246105162344,0.095,IG
-1.1599028518747474,0.1,IG
-0.9781435568919241,0.105,IG
-0.7630388897563813,0.11,IG
-0.617184857942863,0.115,IG
-0.5199261710359435,0.12,IG
-0.35298924149644983,0.125,IG
-0.11803869870821665,0.13,IG
0.06967040603777386,0.135,IG
0.21479333652058213,0.14,IG
0.34061850219457834,0.145,IG
0.4632897364839632,0.15,IG
0.587334823477256,0.155,IG
0.6625150830867519,0.16,IG
0.7855385792852718,0.165,IG
0.8427098566248175,0.17,IG
0.9410354541157733,0.175,IG
1.0508438241162488,0.18,IG
1.0866402825503445,0.185,IG
1.120160417743334,0.19,IG
1.1515908567922128,0.195,IG
1.2477338386302923,0.2,IG
1.3394632793641534,0.205,IG
1.4677036411075348,0.21,IG
1.6023360059814975,0.215,IG
1.762429634810336,0.22,IG
1.9447376078413563,0.225,IG
2.1241502073526197,0.23,IG
2.280313068055417,0.235,IG
2.430571087145511,0.24,IG
2.6527885335785015,0.245,IG
2.8796783218065904,0.25,IG
3.042382152554511,0.255,IG
3.2512597843024356,0.26,IG
3.4916201467937884,0.265,IG
3.745254010295341,0.27,IG
4.021776298347578,0.275,IG
4.361050651588574,0.28,IG
4.66856551703991,0.285,IG
4.928907620287066,0.29,IG
5.1746444008896315,0.295,IG
5.372419447723738,0.3,IG
5.595126883209008,0.305,IG
5.814342317132154,0.31,IG
6.137872759188613,0.315,IG
6.4572037433504175,0.32,IG
6.898790075559597,0.325,IG
7.430532265325572,0.33,IG
7.930264678024582,0.335,IG
8.30365221221275,0.34,IG
8.674041586651208,0.345,IG
8.99023257308405,0.35,IG
9.342904420214346,0.355,IG
9.69774110445728,0.36,IG
10.007966579463435,0.365,IG
10.426281014483815,0.37,IG
10.756462749230622,0.375,IG
11.12488436110608,0.38,IG
11.355899714048363,0.385,IG
11.607537760579476,0.39,IG
11.857851605007522,0.395,IG
12.035356839455531,0.4,IG
12.26273765854592,0.405,IG
12.43159720294814,0.41,IG
12.614769078283084,0.415,IG
12.803457377775349,0.42,IG
12.923211727931811,0.425,IG
13.033518137106286,0.43,IG
13.13417961130984,0.435,IG
13.268324190762701,0.44,IG
13.383031407441134,0.445,IG
13.606511002588547,0.45,IG
13.792599193528527,0.455,IG
13.983348751417155,0.46,IG
14.155729214216125,0.465,IG
14.297294869592811,0.47,IG
14.40603898044575,0.475,IG
14.493601819040713,0.48,IG
14.578545115739553,0.485,IG
14.63202276196289,0.49,IG
14.676193672787038,0.495,IG
14.706168381027398,0.5,IG
14.730975205168779,0.505,IG
14.727407522072657,0.51,IG
14.719461091658783,0.515,IG
14.673281553077143,0.52,IG
14.59015052948661,0.525,IG
14.491104609891792,0.53,IG
14.400792738990553,0.535,IG
14.312252927904611,0.54,IG
14.21036143006077,0.545,IG
14.10441097133921,0.55,IG
13.977090407128157,0.555,IG
13.843451834995916,0.56,IG
13.692014358043911,0.565,IG
13.534112697956786,0.57,IG
13.380777571914502,0.575,IG
13.231247636378933,0.58,IG
13.09279135665454,0.585,IG
12.954784143123424,0.59,IG
12.814087769510207,0.595,IG
12.670733912473757,0.6,IG
12.53928208212105,0.605,IG
12.424020371628705,0.61,IG
12.31538651844478,0.615,IG
12.196502931601552,0.62,IG
12.074823448287672,0.625,IG
11.962527232940237,0.63,IG
11.855740303574388,0.635,IG
11.755728994251685,0.64,IG
11.650467217640474,0.645,IG
11.546090842634072,0.65,IG
11.444943008239186,0.655,IG
11.330167634032588,0.66,IG
11.21951294890999,0.665,IG
11.109164827836773,0.67,IG
11.01171459029821,0.675,IG
10.906435752842402,0.68,IG
10.8039380548131,0.685,IG
10.702891313146242,0.69,IG
10.604001928415933,0.695,IG
10.50567317594244,0.7,IG
10.413703440347916,0.705,IG
10.32250255838915,0.71,IG
10.236492645495591,0.715,IG
10.156469865910127,0.72,IG
10.07819256710599,0.725,IG
10.005441562033054,0.73,IG
9.930541601713522,0.735,IG
9.86371074369747,0.74,IG
9.800340396318173,0.745,IG
9.742920936413507,0.75,IG
9.679200742511892,0.755,IG
9.60779979284488,0.76,IG
9.540699160777677,0.765,IG
