cumulative_sum,alpha,method
1.2644437341477153,0.0,IG
0.9789677257580216,0.005,IG
0.4678662603961209,0.01,IG
0.2860586928695299,0.015,IG
0.13677978524919693,0.02,IG
0.09218676463478281,0.025,IG
-0.34957344062783663,0.03,IG
-0.9015796961536161,0.035,IG
-1.0581222624031086,0.04,IG
-0.9537320107462239,0.045,IG
-0.8704506850889411,0.05,IG
-0.9952722837065135,0.055,IG
-1.0557072588309675,0.06,IG
-1.1073037433837465,0.065,IG
-1.1193199796435394,0.07,IG
-1.0943050654559836,0.075,IG
-1.0568549659639799,0.08,IG
-0.9722906130968407,0.085,IG
-0.9585519647692303,0.09,IG
-0.8547593600624025,0.095,IG
-0.7276073252124458,0.1,IG
-0.657339726293016,0.105,IG
-0.6027858558463031,0.11,IG
-0.6187628350488442,0.115,IG
-0.5905948186121852,0.12,IG
-0.5665213950524683,0.125,IG
-0.5835183567357831,0.13,IG
-0.6648247440261523,0.135,IG
-0.7466851677950568,0.14,IG
-0.8068599498940688,0.145,IG
-0.8762255255589242,0.15,IG
-0.9673998381043936,0.155,IG
-1.0991757802234141,0.16,IG
-1.2002867949904634,0.165,IG
-1.201376837795356,0.17,IG
-1.171532990204316,0.175,IG
-1.142600903826879,0.18,IG
-1.1292578161149556,0.185,IG
-1.1076587910195688,0.19,IG
-1.0449897033643731,0.195,IG
-1.036029834972564,0.2,IG
-1.0469717674038208,0.205,IG
-1.057132715381071,0.21,IG
-1.0259896270999511,0.215,IG
-0.9656483816170832,0.22,IG
-0.8987144701551588,0.225,IG
-0.8411831822136463,0.23,IG
-0.8054453189699485,0.235,IG
-0.6850782201469312,0.24,IG
-0.49546277613266027,0.245,IG
-0.30182750488215315,0.25,IG
-0.1847209663915581,0.255,IG
-0.06604418350710806,0.26,IG
0.11757796820772515,0.265,IG
0.2376090124444178,0.27,IG
0.41371587998112574,0.275,IG
0.611569680586827,0.28,IG
0.7915946362021158,0.285,IG
1.0035402024999964,0.29,IG
1.3103758836933475,0.295,IG
1.5924111953668494,0.3,IG
1.9022951486682342,0.305,IG
2.254006834584887,0.31,IG
2.7244740119611848,0.315,IG
3.1372144378684714,0.32,IG
3.570363455546586,0.325,IG
3.9489978323982706,0.33,IG
4.358345679667371,0.335,IG
4.781909385901166,0.34,IG
5.338533320879919,0.345,IG
6.09598736818053,0.35,IG
6.8380847712811,0.355,IG
7.616254234282354,0.36,IG
8.423371686877985,0.365,IG
9.251345528164851,0.37,IG
10.034481015305273,0.375,IG
10.848438588208218,0.38,IG
11.580365622082347,0.385,IG
12.450027376320262,0.39,IG
13.297370502616205,0.395,IG
14.146512230110536,0.4,IG
15.091527226863624,0.405,IG
16.025010527720635,0.41,IG
16.901195169744337,0.415,IG
17.69939866932524,0.42,IG
18.263131514992526,0.425,IG
18.806303442142784,0.43,IG
19.30981481273159,0.435,IG
19.717150394873254,0.44,IG
19.969214657218576,0.445,IG
20.11998838910886,0.45,IG
20.135916011958265,0.455,IG
20.15902048888749,0.46,IG
20.12636110395841,0.465,IG
20.08423524549309,0.47,IG
19.999692563678327,0.475,IG
19.883794768101307,0.48,IG
19.823171025470316,0.485,IG
19.727232881552517,0.49,IG
19.624086589403174,0.495,IG
19.48336825647557,0.5,IG
19.323750816268458,0.505,IG
19.159314433087516,0.51,IG
18.962296821484713,0.515,IG
18.796868799559917,0.52,IG
18.649732300527948,0.525,IG
