cumulative_sum,alpha,method
-0.30009801843706585,0.0,IG
-0.7220106391915251,0.02,IG
-0.8495594020522513,0.04,IG
-1.5501897776759206,0.06,IG
-0.9796279488599571,0.08,IG
6.473010510492309,0.1,IG
17.593297928499872,0.12,IG
17.967911575023017,0.14,IG
21.25652136215205,0.16,IG
23.290646511949635,0.18,IG
22.813739898781837,0.2,IG
23.14876261145505,0.22,IG
22.966477188757185,0.24,IG
22.20496078530667,0.26,IG
21.227437298101066,0.28,IG
19.815539728243852,0.3,IG
19.140031908449213,0.32,IG
18.338674313045583,0.34,IG
17.731957472680364,0.36,IG
17.175325815513954,0.38,IG
17.05740504760662,0.4,IG
16.8603041962263,0.42,IG
16.773198421949026,0.44,IG
16.455194235090744,0.46,IG
16.47348773238701,0.48,IG
16.321053067817928,0.5,IG
16.223990470022738,0.52,IG
15.995583568413585,0.54,IG
15.791324930018456,0.56,IG
15.597926218305144,0.58,IG
15.43648809557703,0.6,IG
15.031890737705474,0.62,IG
14.596122015209188,0.64,IG
14.145021299178701,0.66,IG
13.688531803276174,0.68,IG
13.357083767235373,0.7,IG
12.858659417539458,0.72,IG
12.634475382772223,0.74,IG
12.223708798917169,0.76,IG
11.809071847983217,0.78,IG
11.42299367894484,0.8,IG
11.082787587499437,0.82,IG
10.857941934314482,0.84,IG
10.6648465324686,0.86,IG
10.578743318373041,0.88,IG
10.41923476724124,0.9,IG
10.242695735916673,0.92,IG
10.069266961810701,0.94,IG
9.824177326086792,0.96,IG
9.72651203666452,0.98,IG
9.531248709353797,1.0,IG
9.486607551574707,0.0,Target
9.486607551574707,0.02,Target
9.486607551574707,0.04,Target
9.486607551574707,0.06,Target
9.486607551574707,0.08,Target
9.486607551574707,0.1,Target
9.486607551574707,0.12,Target
9.486607551574707,0.14,Target
9.486607551574707,0.16,Target
9.486607551574707,0.18,Target
9.486607551574707,0.2,Target
9.486607551574707,0.22,Target
9.486607551574707,0.24,Target
9.486607551574707,0.26,Target
9.486607551574707,0.28,Target
9.486607551574707,0.3,Target
9.486607551574707,0.32,Target
9.486607551574707,0.34,Target
9.486607551574707,0.36,Target
9.486607551574707,0.38,Target
9.486607551574707,0.4,Target
9.486607551574707,0.42,Target
9.486607551574707,0.44,Target
9.486607551574707,0.46,Target
9.486607551574707,0.48,Target
9.486607551574707,0.5,Target
9.486607551574707,0.52,Target
9.486607551574707,0.54,Target
9.486607551574707,0.56,Target
9.486607551574707,0.58,Target
9.486607551574707,0.6,Target
9.486607551574707,0.62,Target
9.486607551574707,0.64,Target
9.486607551574707,0.66,Target
9.486607551574707,0.68,Target
9.486607551574707,0.7,Target
9.486607551574707,0.72,Target
9.486607551574707,0.74,Target
9.486607551574707,0.76,Target
9.486607551574707,0.78,Target
9.486607551574707,0.8,Target
9.486607551574707,0.82,Target
9.486607551574707,0.84,Target
9.486607551574707,0.86,Target
9.486607551574707,0.88,Target
9.486607551574707,0.9,Target
9.486607551574707,0.92,Target
9.486607551574707,0.94,Target
9.486607551574707,0.96,Target
9.486607551574707,0.98,Target
9.486607551574707,1.0,Target
