cumulative_sum,alpha,method
-7.744437023633209,0.0,IG
311.1499561070283,0.02,IG
299.2912181035364,0.04,IG
217.05232979615863,0.06,IG
171.38953929876587,0.08,IG
141.2148585067129,0.1,IG
121.03529840874363,0.12,IG
105.26318792954584,0.14,IG
93.26410461117028,0.16,IG
83.845486533304,0.18,IG
76.1617884662788,0.2,IG
69.82571339678012,0.22,IG
64.42312842916617,0.24,IG
59.81315824421257,0.26,IG
55.8322874973354,0.28,IG
52.400419829828664,0.3,IG
49.35531737598659,0.32,IG
46.6433701532984,0.34,IG
44.19178336359136,0.36,IG
41.955038290954676,0.38,IG
39.980083538614096,0.4,IG
38.18122734336913,0.42,IG
36.57191577122818,0.44,IG
35.116201693383104,0.46,IG
33.762536929317,0.48,IG
32.542569856091546,0.5,IG
31.413503898608443,0.52,IG
30.377501214110442,0.54,IG
29.41293155103494,0.56,IG
28.514634765536897,0.57,IG
27.653101136536065,0.6,IG
26.840462962240526,0.62,IG
26.07180050695499,0.64,IG
25.343744612362137,0.66,IG
24.653324479359352,0.68,IG
24.00030619722853,0.7,IG
23.377943059987246,0.72,IG
22.791827589642594,0.74,IG
22.24096030028198,0.76,IG
21.720088313646887,0.78,IG
21.222491966940456,0.8,IG
20.750400384861567,0.82,IG
20.272909089022566,0.84,IG
19.83324793314279,0.86,IG
19.40679447127258,0.88,IG
18.997550958682034,0.9,IG
18.60889587272247,0.92,IG
18.23650263554656,0.94,IG
17.879373294682598,0.96,IG
17.537493643123373,0.98,IG
17.208294699900513,1.0,IG
9.737344741821289,0.0,Target
9.737344741821289,0.02,Target
9.737344741821289,0.04,Target
9.737344741821289,0.06,Target
9.737344741821289,0.08,Target
9.737344741821289,0.1,Target
9.737344741821289,0.12,Target
9.737344741821289,0.14,Target
9.737344741821289,0.16,Target
9.737344741821289,0.18,Target
9.737344741821289,0.2,Target
9.737344741821289,0.22,Target
9.737344741821289,0.24,Target
9.737344741821289,0.26,Target
9.737344741821289,0.28,Target
9.737344741821289,0.3,Target
9.737344741821289,0.32,Target
9.737344741821289,0.34,Target
9.737344741821289,0.36,Target
9.737344741821289,0.38,Target
9.737344741821289,0.4,Target
9.737344741821289,0.42,Target
9.737344741821289,0.44,Target
9.737344741821289,0.46,Target
9.737344741821289,0.48,Target
9.737344741821289,0.5,Target
9.737344741821289,0.52,Target
9.737344741821289,0.54,Target
9.737344741821289,0.56,Target
9.737344741821289,0.57,Target
9.737344741821289,0.6,Target
9.737344741821289,0.62,Target
9.737344741821289,0.64,Target
9.737344741821289,0.66,Target
9.737344741821289,0.68,Target
9.737344741821289,0.7,Target
9.737344741821289,0.72,Target
9.737344741821289,0.74,Target
9.737344741821289,0.76,Target
9.737344741821289,0.78,Target
9.737344741821289,0.8,Target
9.737344741821289,0.82,Target
9.737344741821289,0.84,Target
9.737344741821289,0.86,Target
9.737344741821289,0.88,Target
9.737344741821289,0.9,Target
9.737344741821289,0.92,Target
9.737344741821289,0.94,Target
9.737344741821289,0.96,Target
9.737344741821289,0.98,Target
9.737344741821289,1.0,Target
