cumulative_sum,alpha,method
-7.74443751598883,0.0,IG
43.28877654067435,0.002,IG
30.219412413399176,0.004,IG
-15.128675929115104,0.006,IG
-19.299241935318285,0.008,IG
-13.502071591234088,0.01,IG
-4.409136809235992,0.012,IG
-11.75339241889094,0.014,IG
-6.325895764406113,0.016,IG
18.218145506923115,0.018000000000000002,IG
73.83871673703595,0.02,IG
117.82127584861738,0.022,IG
134.53175301560162,0.024,IG
142.18860982534676,0.026000000000000002,IG
148.86509324154704,0.028,IG
159.51797737701224,0.03,IG
178.58480901084565,0.032,IG
201.90987875092884,0.034,IG
217.59662047485813,0.036000000000000004,IG
228.33366410808455,0.038,IG
230.58319388279102,0.04,IG
227.09495142511213,0.042,IG
218.2207593645087,0.044,IG
207.85691437571103,0.046,IG
196.50754329749782,0.048,IG
186.54925832263075,0.05,IG
177.79211721779657,0.052000000000000005,IG
169.4610872480242,0.054,IG
162.11961002111866,0.056,IG
155.4801306924711,0.058,IG
149.5077282682807,0.06,IG
144.14147248054817,0.062,IG
139.21015200225028,0.064,IG
134.77128746062343,0.066,IG
130.43698798473372,0.068,IG
126.45489552911611,0.07,IG
122.74415795611957,0.07200000000000001,IG
119.21661955756875,0.074,IG
115.89562036521002,0.076,IG
112.76186342029065,0.078,IG
109.73689876418244,0.08,IG
106.84571303055873,0.082,IG
104.18772517581247,0.084,IG
101.7071837543139,0.08600000000000001,IG
99.35055792372785,0.088,IG
97.04590079114978,0.09,IG
94.82560511449039,0.092,IG
92.746958399241,0.094,IG
90.73575213885675,0.096,IG
88.77741528347805,0.098,IG
86.84729834861827,0.1,IG
85.01071286700704,0.10200000000000001,IG
83.28544658532822,0.10400000000000001,IG
81.69613293399351,0.106,IG
80.19323332212954,0.108,IG
78.73511748754653,0.11,IG
77.3459784489999,0.112,IG
75.99833281540135,0.114,IG
74.70387408539015,0.116,IG
73.45282672047374,0.11800000000000001,IG
72.24799264043718,0.12,IG
71.07903968710124,0.122,IG
