cumulative_sum,alpha,method
-12.09490096800353,0.0,IG
-12.376158246461618,0.005,IG
-7.302606543360676,0.01,IG
-5.17115611389722,0.015,IG
-2.319630169824179,0.02,IG
-1.5147961202415958,0.025,IG
-0.8035791781382285,0.03,IG
0.07003866288455596,0.035,IG
0.6097467381551294,0.04,IG
1.2421356592834745,0.045,IG
1.2204960099931172,0.05,IG
1.4407312315143215,0.055,IG
1.3119616073493545,0.06,IG
1.3908937710031588,0.065,IG
1.4734740852779515,0.07,IG
1.3392620451600044,0.075,IG
1.189136033245152,0.08,IG
1.2223361083353486,0.085,IG
1.1968989161564816,0.09,IG
1.4469712485807633,0.095,IG
1.5791279574020127,0.1,IG
1.6730882386194423,0.105,IG
1.844238831912772,0.11,IG
1.8975148328222133,0.115,IG
1.9934780123683935,0.12,IG
2.1269066624844646,0.125,IG
2.2710837923629668,0.13,IG
2.4035617487087197,0.135,IG
2.4577066849241,0.14,IG
2.4841895139723382,0.145,IG
2.4597823950101887,0.15,IG
2.374554177785355,0.155,IG
2.2315821188772733,0.16,IG
1.9452782317283375,0.165,IG
2.123661615232315,0.17,IG
1.9923631992502746,0.175,IG
1.9960978962147746,0.18,IG
1.9092104986983174,0.185,IG
1.8675967720630569,0.19,IG
1.8401985697733414,0.195,IG
1.8176102577228206,0.2,IG
1.789685508509433,0.205,IG
1.7837996509960978,0.21,IG
1.8277462755065557,0.215,IG
1.8788758847072262,0.22,IG
1.8966202143549176,0.225,IG
1.909953716582389,0.23,IG
1.9061565981264776,0.235,IG
1.917421469026699,0.24,IG
1.9197015456667121,0.245,IG
1.9352900859067503,0.25,IG
1.957067989066267,0.255,IG
1.972911678286213,0.26,IG
1.9941263971082575,0.265,IG
2.0185430782482707,0.27,IG
2.038748249273514,0.275,IG
2.046336695133624,0.28,IG
2.067579307987515,0.285,IG
2.101705559672112,0.29,IG
2.1388554832401008,0.295,IG
2.1857463669027104,0.3,IG
2.241330456118695,0.305,IG
2.2890868289430832,0.31,IG
2.3490573360191505,0.315,IG
2.4090866979647916,0.32,IG
2.4575565314744092,0.325,IG
2.508625299900533,0.33,IG
2.551972226993081,0.335,IG
2.5883757965276164,0.34,IG
2.624966496097998,0.345,IG
2.654785547762847,0.35,IG
2.6886847701538605,0.355,IG
2.717533632058554,0.36,IG
2.7415808670123814,0.365,IG
2.77554402148718,0.37,IG
2.812342417171069,0.375,IG
2.852600463359163,0.38,IG
2.8810972455606825,0.385,IG
2.914797143819033,0.39,IG
2.968912386453218,0.395,IG
3.035488744242353,0.4,IG
3.105252461259063,0.405,IG
3.179800126822771,0.41,IG
