cumulative_sum,alpha,method
-0.18313394328436616,0.0,IG
-0.4958291075023724,0.005,IG
-0.46669547473253803,0.01,IG
-1.0623518742593299,0.015,IG
-0.9567835282129786,0.02,IG
-1.619636056777931,0.025,IG
-1.8832478536842006,0.03,IG
-1.9050093845107021,0.035,IG
-1.9007422925968729,0.04,IG
-1.8257136865486414,0.045,IG
-1.7944862468484584,0.05,IG
-1.77141121187831,0.055,IG
-1.6303914066306133,0.06,IG
-1.4701121031493185,0.065,IG
-1.2541150913883143,0.07,IG
-1.1685691745911901,0.075,IG
-1.0610997019091126,0.08,IG
-0.7969638883814072,0.085,IG
-0.7155860781930455,0.09,IG
-0.6334550998601256,0.095,IG
-0.537119137148212,0.1,IG
-0.4373177005198602,0.105,IG
-0.45686266104935586,0.11,IG
-0.47249159517917655,0.115,IG
-0.5456013899254706,0.12,IG
-0.6138389001747057,0.125,IG
-0.6091903212327159,0.13,IG
-0.5775614082560306,0.135,IG
-0.5696637342019161,0.14,IG
-0.5021686963852577,0.145,IG
-0.47925730591398075,0.15,IG
-0.47100138997771257,0.155,IG
-0.4642621361005357,0.16,IG
-0.4806977519252712,0.165,IG
-0.528504001756146,0.17,IG
-0.6121578754718746,0.175,IG
-0.684970160150876,0.18,IG
-0.7156733345110582,0.185,IG
-0.7835110827482741,0.19,IG
-0.8537411494890934,0.195,IG
-0.9025559029867254,0.2,IG
-0.9539194698445892,0.205,IG
-0.9688336240737936,0.21,IG
-1.028848958337911,0.215,IG
-1.0824023905270013,0.22,IG
-1.1281645311807051,0.225,IG
-1.1411152418535038,0.23,IG
-0.9195484109678085,0.235,IG
-0.6831802456363099,0.24,IG
-0.5926126601951127,0.245,IG
-0.46355008654483776,0.25,IG
-0.1621841491213889,0.255,IG
0.6078390752482967,0.26,IG
1.4952906480351484,0.265,IG
3.17501254183526,0.27,IG
4.825142324652513,0.275,IG
6.222516530402391,0.28,IG
7.613829446605636,0.285,IG
9.12753231340988,0.29,IG
10.413040803068505,0.295,IG
11.470382508300814,0.3,IG
12.028427479505241,0.305,IG
12.430283996368377,0.31,IG
12.679347730849708,0.315,IG
13.12484475612729,0.32,IG
13.430463427575145,0.325,IG
13.703859278079147,0.33,IG
14.110123080337099,0.335,IG
14.570781468260261,0.34,IG
15.020923390466791,0.345,IG
15.215301696883534,0.35,IG
15.380515560777344,0.355,IG
15.509278303318125,0.36,IG
15.472387402039523,0.365,IG
15.63093922833472,0.37,IG
15.835962999995838,0.375,IG
16.007099919738582,0.38,IG
16.08727910513124,0.385,IG
16.19413797972103,0.39,IG
16.447955484473045,0.395,IG
16.56044287202139,0.4,IG
16.799913220768033,0.405,IG
16.913056458290303,0.41,IG
17.05641665088607,0.415,IG
17.21170994502048,0.42,IG
17.42110602257131,0.425,IG
17.68238833502424,0.43,IG
17.972670538371887,0.435,IG
18.316225843286027,0.44,IG
18.594124223978326,0.445,IG
18.807162331900553,0.45,IG
18.972555479119354,0.455,IG
19.097056763478648,0.46,IG
19.22161246556396,0.465,IG
19.211707368990606,0.47,IG
19.186855800195108,0.475,IG
19.074456361043122,0.48,IG
19.00684718432755,0.485,IG
18.868770165779573,0.49,IG
18.693871828188815,0.495,IG
18.523611971473624,0.5,IG
18.3346579618134,0.505,IG
18.196680303584877,0.51,IG
18.073711989290107,0.515,IG
17.925840508853934,0.52,IG
17.741573260947312,0.525,IG
17.541792150819457,0.53,IG
17.381741857667908,0.535,IG
17.233282133598514,0.54,IG
17.076511116507213,0.545,IG
16.913914889074917,0.55,IG
16.771631016487735,0.555,IG
16.62845506390353,0.56,IG
16.530931885053995,0.565,IG
16.45069231043786,0.57,IG
16.3508885353222,0.575,IG
16.243717220322857,0.58,IG
16.140974758612934,0.585,IG
16.048840467159756,0.59,IG
15.95781150356497,0.595,IG
15.845876372526144,0.6,IG
15.728984458868933,0.605,IG
15.649886601836338,0.61,IG
15.561173474962741,0.615,IG
15.510578580119189,0.62,IG
15.44844787406859,0.625,IG
15.41117437248153,0.63,IG
15.353327872202328,0.635,IG
15.306641360643864,0.64,IG
15.29536987556633,0.645,IG
15.247349856817634,0.65,IG
15.194615369250554,0.655,IG
15.13535353464652,0.66,IG
15.078563845068048,0.665,IG
15.040228615608061,0.67,IG
14.991303758373228,0.675,IG
14.970488139407477,0.68,IG
14.949393963392417,0.685,IG
15.03820055762795,0.69,IG
15.116036941952267,0.695,IG
15.14062243095225,0.7,IG
15.1229788049899,0.705,IG
15.12819728485459,0.71,IG
15.14050021182136,0.715,IG
15.167477570243296,0.72,IG
15.203094019920409,0.725,IG
15.196119802215119,0.73,IG
15.171948079880526,0.735,IG
15.108197576465683,0.74,IG
15.003325355893006,0.745,IG
14.915862928496788,0.75,IG
14.829399159151519,0.755,IG
14.73359993271306,0.76,IG
14.637659660194535,0.765,IG
14.539767002087332,0.77,IG
14.438764338673325,0.775,IG
14.327379845452688,0.78,IG
14.227394415660639,0.785,IG
14.137468270124591,0.79,IG
14.036685835961416,0.795,IG
13.938429241898369,0.8,IG
13.840898694433736,0.805,IG
