cumulative_sum,alpha,method
0.05069081876346779,0.0,IG
0.8324053414313015,0.02,IG
0.2315686942789271,0.04,IG
0.2783563376579765,0.06,IG
0.3638658632222205,0.08,IG
0.3937299834963891,0.1,IG
-0.06507611800443266,0.12,IG
-0.260140976373776,0.14,IG
0.2660498380378014,0.16,IG
1.6448859755091527,0.18,IG
7.684588956856824,0.2,IG
8.991528646892807,0.22,IG
10.612478376040398,0.24,IG
12.261344094471076,0.26,IG
13.89181894825901,0.28,IG
15.034578741639342,0.3,IG
15.893506819881548,0.32,IG
16.55043071639873,0.34,IG
17.299829499238346,0.36,IG
18.141566412956486,0.38,IG
19.067273682133806,0.4,IG
19.129665364282218,0.42,IG
19.522523548995323,0.44,IG
19.590592440302128,0.46,IG
19.627174222441283,0.48,IG
18.97544653496681,0.5,IG
18.175988254514508,0.52,IG
17.103668443186354,0.54,IG
16.16034809743922,0.56,IG
15.598236418326707,0.58,IG
15.250521794486431,0.6,IG
14.776863732088835,0.62,IG
13.885611074202917,0.64,IG
13.087978023073878,0.66,IG
12.669164488802474,0.68,IG
12.451305383209792,0.7,IG
12.509324959680823,0.72,IG
12.56280625297454,0.74,IG
12.788439726155165,0.76,IG
13.048293517284886,0.78,IG
13.16443998526608,0.8,IG
12.953553478720284,0.82,IG
12.745755222530397,0.84,IG
12.445517039737897,0.86,IG
12.18542301485918,0.88,IG
11.952089017501452,0.9,IG
11.666196209606268,0.92,IG
11.45191918957173,0.94,IG
11.275449069211232,0.96,IG
11.033995738006457,0.98,IG
10.846720112476184,1.0,IG
10.970158576965332,0.0,Target
10.970158576965332,0.02,Target
10.970158576965332,0.04,Target
10.970158576965332,0.06,Target
10.970158576965332,0.08,Target
10.970158576965332,0.1,Target
10.970158576965332,0.12,Target
10.970158576965332,0.14,Target
10.970158576965332,0.16,Target
10.970158576965332,0.18,Target
10.970158576965332,0.2,Target
10.970158576965332,0.22,Target
10.970158576965332,0.24,Target
10.970158576965332,0.26,Target
10.970158576965332,0.28,Target
10.970158576965332,0.3,Target
10.970158576965332,0.32,Target
10.970158576965332,0.34,Target
10.970158576965332,0.36,Target
10.970158576965332,0.38,Target
10.970158576965332,0.4,Target
10.970158576965332,0.42,Target
10.970158576965332,0.44,Target
10.970158576965332,0.46,Target
10.970158576965332,0.48,Target
10.970158576965332,0.5,Target
10.970158576965332,0.52,Target
10.970158576965332,0.54,Target
10.970158576965332,0.56,Target
10.970158576965332,0.58,Target
10.970158576965332,0.6,Target
10.970158576965332,0.62,Target
10.970158576965332,0.64,Target
10.970158576965332,0.66,Target
10.970158576965332,0.68,Target
10.970158576965332,0.7,Target
10.970158576965332,0.72,Target
10.970158576965332,0.74,Target
10.970158576965332,0.76,Target
10.970158576965332,0.78,Target
10.970158576965332,0.8,Target
10.970158576965332,0.82,Target
10.970158576965332,0.84,Target
10.970158576965332,0.86,Target
10.970158576965332,0.88,Target
10.970158576965332,0.9,Target
10.970158576965332,0.92,Target
10.970158576965332,0.94,Target
10.970158576965332,0.96,Target
10.970158576965332,0.98,Target
10.970158576965332,1.0,Target
