cumulative_sum,alpha,method
36.67788182292631,0.0,IG
78.78819335378978,0.002,IG
35.27070336901014,0.004,IG
29.325348499489834,0.006,IG
157.34362831896286,0.008,IG
189.69048142224915,0.01,IG
200.78351701938152,0.012,IG
201.0456437439758,0.014,IG
194.24175573961304,0.016,IG
196.97811407338642,0.018000000000000002,IG
204.1858031331422,0.02,IG
217.6089787019005,0.022,IG
240.94492917094254,0.024,IG
254.21504294779996,0.026000000000000002,IG
255.84637516269532,0.028,IG
257.8540257776905,0.03,IG
254.9479997967562,0.032,IG
247.51162888235098,0.034,IG
239.16643684075208,0.036000000000000004,IG
231.270094421223,0.038,IG
225.04062611139813,0.04,IG
219.5442875667381,0.042,IG
213.32202488661474,0.044,IG
208.33709527176356,0.046,IG
202.91659399424708,0.048,IG
198.02264582596513,0.05,IG
193.04854263888598,0.052000000000000005,IG
187.36394259233145,0.054,IG
182.23772539727318,0.056,IG
177.23840360691676,0.058,IG
172.85073688132033,0.06,IG
168.23461039922083,0.062,IG
164.165841373698,0.064,IG
159.50275472433756,0.066,IG
155.18551115835837,0.068,IG
151.10735050673935,0.07,IG
147.39953364337552,0.07200000000000001,IG
143.80256241123595,0.074,IG
140.76331974624264,0.076,IG
137.86182840242492,0.078,IG
134.7483275843211,0.08,IG
131.952439311538,0.082,IG
129.55444282457728,0.084,IG
127.23462087887638,0.08600000000000001,IG
124.90803385950983,0.088,IG
122.38912285082371,0.09,IG
120.32502146264355,0.092,IG
118.13850837698021,0.094,IG
115.59205066977927,0.096,IG
113.4829180560857,0.098,IG
111.5531251434992,0.1,IG
109.76587794704739,0.10200000000000001,IG
108.02887669725757,0.10400000000000001,IG
106.21604808571196,0.106,IG
104.43141605652187,0.108,IG
102.72615912127813,0.11,IG
101.03033865940074,0.112,IG
99.3420523984722,0.114,IG
97.74558823596585,0.116,IG
96.19185779711373,0.11800000000000001,IG
94.70182158839847,0.12,IG
93.23161602342486,0.122,IG
91.82632302207911,0.124,IG
90.4537816554311,0.126,IG
89.13013930446247,0.128,IG
87.82832931511601,0.13,IG
86.53037935913487,0.132,IG
85.25236359371239,0.134,IG
84.02710327909884,0.136,IG
82.8416918527513,0.138,IG
81.694892827333,0.14,IG
80.60585299997084,0.14200000000000002,IG
79.5551129480964,0.14400000000000002,IG
78.53662207403357,0.146,IG
77.53895905532164,0.148,IG
76.59132536496861,0.15,IG
75.65437222525165,0.152,IG
74.72980935107003,0.154,IG
73.81988469491414,0.156,IG
72.91246000608504,0.158,IG
72.03439019767353,0.16,IG
71.1658011010291,0.162,IG
70.30739721662293,0.164,IG
69.48689345262078,0.166,IG
68.6966066597167,0.168,IG
67.94210995518384,0.17,IG
67.20637377336135,0.17200000000000001,IG
66.49386255778204,0.17400000000000002,IG
65.80544783123263,0.176,IG
65.14303845367488,0.178,IG
64.4836835294057,0.18,IG
63.849674051504145,0.182,IG
63.218991756709265,0.184,IG
62.59219326198731,0.186,IG
61.985185575557054,0.188,IG
61.39526583308314,0.19,IG
60.81898043830862,0.192,IG
60.25231889938488,0.194,IG
59.68579017134039,0.196,IG
59.12559180197645,0.198,IG
58.581370247963775,0.2,IG
58.04193318649444,0.202,IG
57.5099218010995,0.20400000000000001,IG
56.99096090498845,0.20600000000000002,IG
56.47922695513701,0.20800000000000002,IG
55.96988578538337,0.21,IG
55.460407312923834,0.212,IG
54.95316958338574,0.214,IG
54.45210803996834,0.216,IG
53.9623196336004,0.218,IG
53.49507864354645,0.22,IG
53.03386467701721,0.222,IG
52.58277174907915,0.224,IG
52.14355732991541,0.226,IG
51.71337307079311,0.228,IG
51.29381110860837,0.23,IG
50.8783009181734,0.232,IG
50.46751335038874,0.234,IG
50.059305991591295,0.23600000000000002,IG
49.6539147749542,0.23800000000000002,IG
49.25256266367294,0.24,IG
48.85587387309122,0.242,IG
48.46576443749424,0.244,IG
48.08749538349275,0.246,IG
