cumulative_sum,alpha,method
0.23277420615987243,0.0,IG
0.5822761348408467,0.005,IG
0.6506966731882489,0.01,IG
0.637658694087816,0.015,IG
0.5373500280506142,0.02,IG
0.08862022984649344,0.025,IG
-0.056252430322017315,0.03,IG
-0.1476801885887129,0.035,IG
-0.34900151622725895,0.04,IG
-0.2784845962678212,0.045,IG
-0.47505502478655537,0.05,IG
-0.35408642571942656,0.055,IG
-0.44934898159748976,0.06,IG
-1.3141623890721477,0.065,IG
-1.0057384896490777,0.07,IG
-0.97518810547108,0.075,IG
-1.0262471902909478,0.08,IG
-1.1841475581493055,0.085,IG
-1.193382331420048,0.09,IG
-1.154285145761188,0.095,IG
-1.053958019677427,0.1,IG
-0.9845110485590508,0.105,IG
-0.9238032994236423,0.11,IG
-0.8991817668426265,0.115,IG
-0.8511827429325024,0.12,IG
-0.7678179143097179,0.125,IG
-0.6697002093964788,0.13,IG
-0.5854426739208609,0.135,IG
-0.5442291205737575,0.14,IG
-0.5119051019724471,0.145,IG
-0.4685916129103382,0.15,IG
-0.42847300498315544,0.155,IG
-0.3786780637620056,0.16,IG
-0.33280430725720245,0.165,IG
-0.2736967828719118,0.17,IG
-0.2240837785352158,0.175,IG
-0.17691125759673443,0.18,IG
-0.1440341068972361,0.185,IG
-0.10399951175252695,0.19,IG
-0.06863540693332867,0.195,IG
-0.03330231346009789,0.2,IG
-0.009595730948033572,0.205,IG
-0.007177770013878662,0.21,IG
-0.0006601242274462821,0.215,IG
-0.003447607939877549,0.22,IG
-0.0008883095800646251,0.225,IG
-0.004478485787711539,0.23,IG
-0.012099098329436876,0.235,IG
-0.015547541099561885,0.24,IG
-0.02656764597323774,0.245,IG
-0.032709716982308595,0.25,IG
-0.0388314733820528,0.255,IG
-0.04206470230921805,0.26,IG
-0.03362900204646248,0.265,IG
-0.032083445709781375,0.27,IG
-0.021910909749253013,0.275,IG
-0.017242007200242465,0.28,IG
-0.020410710837363108,0.285,IG
-0.016387205646929845,0.29,IG
-0.01201203011163661,0.295,IG
-0.010027050083503394,0.3,IG
-0.012747249189110008,0.305,IG
-0.011393254225935165,0.31,IG
-0.013160495572144437,0.315,IG
-0.0071222956169647855,0.32,IG
-0.0017208980837303822,0.325,IG
0.009905743029759537,0.33,IG
0.01451094827498621,0.335,IG
0.028107996801852497,0.34,IG
0.039833134368695955,0.345,IG
0.05192241318525502,0.35,IG
0.06410650733585635,0.355,IG
0.07305157583521286,0.36,IG
0.07786767375496724,0.365,IG
0.08124173840119067,0.37,IG
0.0860358709313345,0.375,IG
0.08579237063226006,0.38,IG
0.08044384526960141,0.385,IG
0.08411410916912884,0.39,IG
0.0861183284611641,0.395,IG
0.08751950892123579,0.4,IG
0.08973119022761503,0.405,IG
0.0932891363618274,0.41,IG
0.09411930259637427,0.415,IG
0.09126387612042279,0.42,IG
0.0942297324942818,0.425,IG
0.1030965047387783,0.43,IG
0.13270617076770452,0.435,IG
0.16497048751103327,0.44,IG
0.1952513182580059,0.445,IG
0.23141723731954744,0.45,IG
0.2711389410162266,0.455,IG
0.30347459510929387,0.46,IG
0.33268488333780105,0.465,IG
0.35700102218534313,0.47,IG
0.35934555413545377,0.475,IG
0.3571384573106212,0.48,IG
0.35126128814178365,0.485,IG
0.34125362634205814,0.49,IG
0.32314007516709103,0.495,IG
0.3029457004637238,0.5,IG
0.2907522861767004,0.505,IG
0.28515316937538004,0.51,IG
0.28275236427381556,0.515,IG
0.2737254719590191,0.52,IG
0.27334195294544217,0.525,IG
0.29788915186263265,0.53,IG
0.33604958900987514,0.535,IG
0.38227491125854673,0.54,IG
0.4675932867837288,0.545,IG
0.5910645729904254,0.55,IG
0.7581136778502608,0.555,IG
0.9404787345787176,0.56,IG
1.1947570616967917,0.565,IG
1.486553475477029,0.57,IG
1.7529836484055992,0.575,IG
2.08039084653632,0.58,IG
2.4263222106841287,0.585,IG
2.759906715122938,0.59,IG
3.0163827090399247,0.595,IG
3.2845806457599083,0.6,IG
3.5943534434590427,0.605,IG
3.9416410528726473,0.61,IG
4.255822411124595,0.615,IG
4.6279281206077725,0.62,IG
5.037132662286949,0.625,IG
5.548539986135665,0.63,IG
6.091965187761368,0.635,IG
6.672952259050175,0.64,IG
7.34463976247861,0.645,IG
7.970487604388418,0.65,IG
8.59573129387697,0.655,IG
9.174075967411076,0.66,IG
9.819961317286861,0.665,IG
