cumulative_sum,alpha,method
-0.4060763247672463,0.0,IG
-0.7992304015003078,0.005,IG
-1.116262654243603,0.01,IG
-1.5490070963869345,0.015,IG
-1.685267403103057,0.02,IG
-1.921103787322997,0.025,IG
-2.239708220915107,0.03,IG
-2.1856874836319267,0.035,IG
-2.1015188308460275,0.04,IG
-2.0586029442746163,0.045,IG
-1.9413326611598443,0.05,IG
-1.7512745633723543,0.055,IG
-1.6089002497863905,0.06,IG
-1.5195774384645548,0.065,IG
-1.4084202087505748,0.07,IG
-1.3108570050517327,0.075,IG
-1.2889642824283585,0.08,IG
-1.2464599861036247,0.085,IG
-1.1843106816816509,0.09,IG
-1.1006797844333231,0.095,IG
-1.0278575033486368,0.1,IG
-0.956627518986231,0.105,IG
-0.8968894293325682,0.11,IG
-0.8709389744126093,0.115,IG
-0.8385329540369363,0.12,IG
-0.8045654791885227,0.125,IG
-0.7859198796716736,0.13,IG
-0.7557105511965038,0.135,IG
-0.7045711918010875,0.14,IG
-0.6519347555917667,0.145,IG
-0.6018054589552031,0.15,IG
-0.5543475186935347,0.155,IG
-0.4987155729399334,0.16,IG
-0.4500421554820663,0.165,IG
-0.42390868269512816,0.17,IG
-0.40550989622962197,0.175,IG
-0.3882534425940765,0.18,IG
-0.37502050175681123,0.185,IG
-0.38083658229701667,0.19,IG
-0.4151904456069548,0.195,IG
-0.4638729272916145,0.2,IG
-0.5036798575732442,0.205,IG
-0.5425703775300001,0.21,IG
-0.5798601324783575,0.215,IG
-0.6188355178870061,0.22,IG
-0.6846971691730882,0.225,IG
-0.7377327698866676,0.23,IG
-0.7798784794976734,0.235,IG
-0.7986140055643287,0.24,IG
-0.8057040152326327,0.245,IG
-0.8257393254326081,0.25,IG
-0.8523747687004358,0.255,IG
-0.9022369448092131,0.26,IG
-0.929400132409202,0.265,IG
-0.9426729699578249,0.27,IG
-0.9305504041895865,0.275,IG
-0.9024271209373994,0.28,IG
-0.8895118462930185,0.285,IG
-0.9073114198922282,0.29,IG
-0.9517662199118446,0.295,IG
-0.9669484316923396,0.3,IG
-0.9865417988841787,0.305,IG
-0.9787532932982456,0.31,IG
-0.9937073797454992,0.315,IG
-0.9963745833319387,0.32,IG
-0.9859301974018412,0.325,IG
-0.9861003153771708,0.33,IG
-0.9568339801244669,0.335,IG
-0.9251622965374793,0.34,IG
-0.8910037576289045,0.345,IG
-0.9003755550117172,0.35,IG
-0.9307361999121269,0.355,IG
-0.9706377065768974,0.36,IG
-0.9998897463122864,0.365,IG
-1.0119067034437206,0.37,IG
-1.0127311740665115,0.375,IG
-1.0233240726119917,0.38,IG
-1.017900431778097,0.385,IG
-0.9970362042043512,0.39,IG
-0.9967652247540211,0.395,IG
-0.9954629727441069,0.4,IG
-0.985731499392295,0.405,IG
-0.9786986257100785,0.41,IG
-0.9600149245851626,0.415,IG
-0.9452216947563423,0.42,IG
-0.9340404771731329,0.425,IG
-0.9177004354562415,0.43,IG
-0.917157705920157,0.435,IG
-0.914608752905949,0.44,IG
-0.9172178669880542,0.445,IG
-0.9251361833043987,0.45,IG
-0.9178701290877636,0.455,IG
-0.9125366636020201,0.46,IG
-0.9041849522463823,0.465,IG
-0.9057253864204541,0.47,IG
-0.909452983036817,0.475,IG
-0.9175435881999121,0.48,IG
-0.9326858200017093,0.485,IG
-0.963413616159468,0.49,IG
-0.9833697026376809,0.495,IG
-1.0211186827138716,0.5,IG
-1.0777578613223873,0.505,IG
-1.1375541929363595,0.51,IG
-1.1972348503754793,0.515,IG
-1.254664645246651,0.52,IG
-1.305787430115581,0.525,IG
-1.351383500879471,0.53,IG
-1.3859422753797834,0.535,IG
-1.4045532229594562,0.54,IG
-1.4081140994085939,0.545,IG
-1.40999274294485,0.55,IG
-1.3891707945160443,0.555,IG
-1.349668591124278,0.56,IG
-1.3292255964661175,0.565,IG
-1.3096840806823804,0.57,IG
-1.2937915613648125,0.575,IG
-1.2672410289098341,0.58,IG
-1.2441760165451505,0.585,IG
