cumulative_sum,alpha,method
0.0,0.0,IG
0.0,0.005,IG
0.0,0.01,IG
0.0,0.015,IG
0.0,0.02,IG
0.0,0.025,IG
0.0,0.03,IG
0.0,0.035,IG
0.0,0.04,IG
0.0,0.045,IG
0.0,0.05,IG
0.0,0.055,IG
0.0,0.06,IG
0.0,0.065,IG
0.0,0.07,IG
0.0,0.075,IG
0.0,0.08,IG
0.0,0.085,IG
0.0,0.09,IG
0.0,0.095,IG
0.0,0.1,IG
0.0,0.105,IG
0.0,0.11,IG
0.0,0.115,IG
0.0,0.12,IG
0.0,0.125,IG
0.0,0.13,IG
0.0,0.135,IG
0.0,0.14,IG
0.0,0.145,IG
0.0,0.15,IG
0.0,0.155,IG
0.0,0.16,IG
0.0,0.165,IG
0.0,0.17,IG
0.0,0.175,IG
0.0,0.18,IG
0.0,0.185,IG
0.0,0.19,IG
0.0,0.195,IG
0.0,0.2,IG
0.0,0.205,IG
0.0,0.21,IG
0.0,0.215,IG
0.0,0.22,IG
0.0,0.225,IG
0.0,0.23,IG
0.0,0.235,IG
0.0,0.24,IG
0.0,0.245,IG
0.0,0.25,IG
0.0,0.255,IG
0.0,0.26,IG
0.0,0.265,IG
0.0,0.27,IG
0.0,0.275,IG
0.0,0.28,IG
0.0,0.285,IG
0.0,0.29,IG
0.0,0.295,IG
0.0,0.3,IG
0.0,0.305,IG
0.0,0.31,IG
0.0,0.315,IG
0.0,0.32,IG
0.0,0.325,IG
0.0,0.33,IG
0.0,0.335,IG
0.0,0.34,IG
0.0,0.345,IG
0.0,0.35,IG
0.0,0.355,IG
0.0,0.36,IG
0.0,0.365,IG
0.0,0.37,IG
0.0,0.375,IG
0.0,0.38,IG
0.0,0.385,IG
0.0,0.39,IG
0.0,0.395,IG
0.0,0.4,IG
0.0,0.405,IG
0.0,0.41,IG
0.0,0.415,IG
0.0,0.42,IG
0.0,0.425,IG
0.0,0.43,IG
0.0,0.435,IG
0.0,0.44,IG
0.0,0.445,IG
0.0,0.45,IG
0.0,0.455,IG
0.0,0.46,IG
