cumulative_sum,alpha,method
-0.10769293345341852,0.0,IG
-0.2030298279794417,0.005,IG
-0.2953284554261564,0.01,IG
-0.334327564241083,0.015,IG
-0.36856507153310125,0.02,IG
-0.41915643077522174,0.025,IG
-0.44071216760219706,0.03,IG
-0.4481381537508059,0.035,IG
-0.4294265742595558,0.04,IG
-0.38802479835223425,0.045,IG
-0.3228700274695531,0.05,IG
-0.18994642535921433,0.055,IG
-0.14843672670600666,0.06,IG
-0.18109306920835294,0.065,IG
-0.19067494513145186,0.07,IG
-0.21803115321405753,0.075,IG
-0.16301908468185533,0.08,IG
-0.10707312146537751,0.085,IG
-0.049596477628896796,0.09,IG
-0.020760372160053525,0.095,IG
0.009030349867885451,0.1,IG
0.0056834053556893,0.105,IG
-0.0254476669757715,0.11,IG
-0.040521453342105426,0.115,IG
-0.07420896671002514,0.12,IG
-0.08119548216659143,0.125,IG
-0.07820312842690032,0.13,IG
-0.07398573510508605,0.135,IG
-0.07015419912638421,0.14,IG
-0.07181910065105832,0.145,IG
-0.0615956047275473,0.15,IG
-0.051914452716574785,0.155,IG
-0.06100094947504957,0.16,IG
-0.07985624632282343,0.165,IG
-0.12056586099540346,0.17,IG
-0.14885142408575658,0.175,IG
-0.17858751167796563,0.18,IG
-0.20479433978421324,0.185,IG
-0.2333250319181574,0.19,IG
-0.2730338933474194,0.195,IG
-0.2945064749625558,0.2,IG
-0.2898671321188643,0.205,IG
-0.2595226953728817,0.21,IG
-0.22625187977028827,0.215,IG
-0.19602672056264955,0.22,IG
-0.1400545051402513,0.225,IG
-0.0898504608374398,0.23,IG
-0.06080048175552048,0.235,IG
-0.04859129637733947,0.24,IG
-0.0451103181245338,0.245,IG
-0.04058178404494322,0.25,IG
-0.04897158120893015,0.255,IG
-0.04792370185900775,0.26,IG
-0.04429683389886674,0.265,IG
-0.03646579103513621,0.27,IG
-0.03192264669542708,0.275,IG
-0.040256463457611844,0.28,IG
-0.037869783916977054,0.285,IG
-0.04239951568240839,0.29,IG
-0.04588807360497746,0.295,IG
-0.045770812005790265,0.3,IG
-0.053821083269856566,0.305,IG
-0.052539000260471855,0.31,IG
-0.048887797489903476,0.315,IG
-0.052185702344348675,0.32,IG
-0.050593421718475085,0.325,IG
-0.05471794603435519,0.33,IG
-0.059552716758542824,0.335,IG
-0.06071524700719026,0.34,IG
-0.05078284702946533,0.345,IG
-0.03529390379007618,0.35,IG
-0.025377274360530423,0.355,IG
-0.010816765741547713,0.36,IG
0.008990130228598082,0.365,IG
0.02141022270325453,0.37,IG
0.03328110983372346,0.375,IG
0.05172608783317682,0.38,IG
0.07850179124164125,0.385,IG
0.10185667287966302,0.39,IG
0.10802305735006126,0.395,IG
0.11201599919771359,0.4,IG
0.11707833630896912,0.405,IG
0.12903012030319166,0.41,IG
0.15718894990172275,0.415,IG
0.1862215015725046,0.42,IG
0.2322620605464351,0.425,IG
0.2742562960726502,0.43,IG
0.3236928854212631,0.435,IG
0.3838000147282681,0.44,IG
0.45241006154821856,0.445,IG
0.5228639011219531,0.45,IG
0.5966636586154873,0.455,IG
0.6676427563074582,0.46,IG
0.715707914261161,0.465,IG
0.7673216587122046,0.47,IG
0.8016720730208748,0.475,IG
0.8212849646287941,0.48,IG
0.846675145705265,0.485,IG
0.8812613992552845,0.49,IG
0.9061392972541653,0.495,IG
0.9188977247735357,0.5,IG
0.935715593506397,0.505,IG
0.9683262210431999,0.51,IG
1.0069694884487759,0.515,IG
1.044170181295561,0.52,IG
1.0745006973401332,0.525,IG
1.1185406868216936,0.53,IG
1.1481663323179958,0.535,IG
1.1790045188503655,0.54,IG
1.2213985106128085,0.545,IG
1.2543532666196353,0.55,IG
1.2998972046311075,0.555,IG
1.3711921479007851,0.56,IG
1.4322994098742783,0.565,IG
1.5145575298697347,0.57,IG
1.6116178215723405,0.575,IG
1.7028452822880018,0.58,IG
1.830539866488571,0.585,IG
1.984429638262205,0.59,IG
2.170864395924368,0.595,IG
2.412218386432796,0.6,IG
2.7411768850698817,0.605,IG
3.091448203268193,0.61,IG
3.600661051225338,0.615,IG
4.273995807169954,0.62,IG
4.974156031076952,0.625,IG
5.7437400746281595,0.63,IG
6.510043597223297,0.635,IG
7.229494966420998,0.64,IG
8.007380676645676,0.645,IG
8.680715006797847,0.65,IG
9.211043377637894,0.655,IG
9.532613289198993,0.66,IG
9.71337155826832,0.665,IG
9.947925105250969,0.67,IG
10.114284995224502,0.675,IG
10.303943939264144,0.68,IG
10.386830690494605,0.685,IG
10.434419173837568,0.69,IG
10.539342504983354,0.695,IG
10.717150100964131,0.7,IG
10.946397362297951,0.705,IG
11.223224793122856,0.71,IG
11.507204577893832,0.715,IG
11.754417163378397,0.72,IG
11.938966906955152,0.725,IG
12.115550132574581,0.73,IG
12.346207004537762,0.735,IG
12.581700964547561,0.74,IG
12.749962586910552,0.745,IG
12.913311193438082,0.75,IG
13.026018851955504,0.755,IG
13.097623154959411,0.76,IG
13.151352939602576,0.765,IG
13.142551434448668,0.77,IG
13.088470318363738,0.775,IG
13.030811829947043,0.78,IG
12.976284683284293,0.785,IG
12.915785244423876,0.79,IG
12.877324232701357,0.795,IG
12.841403112785393,0.8,IG
12.782645325015887,0.805,IG
12.73454873348236,0.81,IG
12.65253698413418,0.815,IG
12.560748693968229,0.82,IG
12.47544495511712,0.825,IG
12.392784567732805,0.83,IG
12.306934115121239,0.835,IG
12.218338535552528,0.84,IG
12.13328184790975,0.845,IG
12.056434130884673,0.85,IG
11.984894368733112,0.855,IG
11.906143229669182,0.86,IG
11.828629257757004,0.865,IG
11.753473167982456,0.87,IG
11.690924991568426,0.875,IG
11.635733057368881,0.88,IG
11.581824768494087,0.885,IG
11.50917355609473,0.89,IG
11.45305903633424,0.895,IG
11.390917595481048,0.9,IG
11.319176406505902,0.905,IG
11.244268354145472,0.91,IG
11.178958450768643,0.915,IG
11.113855048432734,0.92,IG
11.05554554778263,0.925,IG
11.004483807122842,0.93,IG
10.974217270666328,0.935,IG
10.932927536371906,0.94,IG
10.884576671350034,0.945,IG
10.825138496432958,0.95,IG
10.77187763541632,0.955,IG
10.72135724753681,0.96,IG
10.669846620441387,0.965,IG
10.60429992163815,0.97,IG
10.531770346968637,0.975,IG
10.46827889646359,0.98,IG
10.410142176233002,0.985,IG
10.352573537890528,0.99,IG
10.304796567452872,0.995,IG
10.25213514899282,1.0,IG
10.296868324279785,0.0,Target
10.296868324279785,0.005,Target
10.296868324279785,0.01,Target
10.296868324279785,0.015,Target
10.296868324279785,0.02,Target
10.296868324279785,0.025,Target
10.296868324279785,0.03,Target
10.296868324279785,0.035,Target
10.296868324279785,0.04,Target
10.296868324279785,0.045,Target
10.296868324279785,0.05,Target
10.296868324279785,0.055,Target
10.296868324279785,0.06,Target
10.296868324279785,0.065,Target
10.296868324279785,0.07,Target
10.296868324279785,0.075,Target
10.296868324279785,0.08,Target
10.296868324279785,0.085,Target
10.296868324279785,0.09,Target
10.296868324279785,0.095,Target
10.296868324279785,0.1,Target
10.296868324279785,0.105,Target
10.296868324279785,0.11,Target
10.296868324279785,0.115,Target
10.296868324279785,0.12,Target
10.296868324279785,0.125,Target
10.296868324279785,0.13,Target
10.296868324279785,0.135,Target
10.296868324279785,0.14,Target
10.296868324279785,0.145,Target
10.296868324279785,0.15,Target
10.296868324279785,0.155,Target
10.296868324279785,0.16,Target
10.296868324279785,0.165,Target
10.296868324279785,0.17,Target
10.296868324279785,0.175,Target
10.296868324279785,0.18,Target
10.296868324279785,0.185,Target
10.296868324279785,0.19,Target
10.296868324279785,0.195,Target
10.296868324279785,0.2,Target
10.296868324279785,0.205,Target
10.296868324279785,0.21,Target
10.296868324279785,0.215,Target
10.296868324279785,0.22,Target
10.296868324279785,0.225,Target
10.296868324279785,0.23,Target
10.296868324279785,0.235,Target
10.296868324279785,0.24,Target
10.296868324279785,0.245,Target
10.296868324279785,0.25,Target
10.296868324279785,0.255,Target
10.296868324279785,0.26,Target
10.296868324279785,0.265,Target
10.296868324279785,0.27,Target
10.296868324279785,0.275,Target
10.296868324279785,0.28,Target
10.296868324279785,0.285,Target
10.296868324279785,0.29,Target
10.296868324279785,0.295,Target
10.296868324279785,0.3,Target
10.296868324279785,0.305,Target
10.296868324279785,0.31,Target
10.296868324279785,0.315,Target
10.296868324279785,0.32,Target
10.296868324279785,0.325,Target
