cumulative_sum,alpha,method
2.995722490196357,0.0,IG
37.02619527540264,0.02,IG
38.37888530532776,0.04,IG
25.577960560206975,0.06,IG
19.948629165657074,0.08,IG
16.03821477631027,0.1,IG
13.180670311734628,0.12,IG
11.697716393620794,0.14,IG
10.75539672140257,0.16,IG
9.935202681612285,0.18,IG
9.196585569482771,0.2,IG
8.443511659598999,0.22,IG
7.785072948005945,0.24,IG
7.17793830627228,0.26,IG
6.634320195426216,0.28,IG
6.27359172228762,0.3,IG
5.98234780543862,0.32,IG
5.7149946512662515,0.34,IG
5.446110649872264,0.36,IG
5.194997524815334,0.38,IG
4.981685545536189,0.4,IG
4.780577124675553,0.42,IG
4.612496621481114,0.44,IG
4.466395737365097,0.46,IG
4.334508207536127,0.48,IG
4.199331311295772,0.5,IG
4.0594361049222245,0.52,IG
3.942415146767706,0.54,IG
3.8369948499115205,0.56,IG
3.7327218606249497,0.57,IG
3.631591406415548,0.6,IG
3.535268589841621,0.62,IG
3.4380819017413033,0.64,IG
3.3478916421537344,0.66,IG
3.2675647336950155,0.68,IG
3.1910497805497484,0.7,IG
3.117285586119653,0.72,IG
3.04413643630486,0.74,IG
2.9791804057586453,0.76,IG
2.91586708615614,0.78,IG
2.8538550364222983,0.8,IG
2.794192761838662,0.82,IG
2.7353349947390897,0.84,IG
2.6790105916257865,0.86,IG
2.6253175664730315,0.88,IG
2.5700062947537505,0.9,IG
2.5187482804103247,0.92,IG
2.4708417390105133,0.94,IG
2.4272041788565963,0.96,IG
2.387726906640963,0.98,IG
2.3437237805471423,1.0,IG
10.97654914855957,0.0,Target
10.97654914855957,0.02,Target
10.97654914855957,0.04,Target
10.97654914855957,0.06,Target
10.97654914855957,0.08,Target
10.97654914855957,0.1,Target
10.97654914855957,0.12,Target
10.97654914855957,0.14,Target
10.97654914855957,0.16,Target
10.97654914855957,0.18,Target
10.97654914855957,0.2,Target
10.97654914855957,0.22,Target
10.97654914855957,0.24,Target
10.97654914855957,0.26,Target
10.97654914855957,0.28,Target
10.97654914855957,0.3,Target
10.97654914855957,0.32,Target
10.97654914855957,0.34,Target
10.97654914855957,0.36,Target
10.97654914855957,0.38,Target
10.97654914855957,0.4,Target
10.97654914855957,0.42,Target
10.97654914855957,0.44,Target
10.97654914855957,0.46,Target
10.97654914855957,0.48,Target
10.97654914855957,0.5,Target
10.97654914855957,0.52,Target
10.97654914855957,0.54,Target
10.97654914855957,0.56,Target
10.97654914855957,0.57,Target
10.97654914855957,0.6,Target
10.97654914855957,0.62,Target
10.97654914855957,0.64,Target
10.97654914855957,0.66,Target
10.97654914855957,0.68,Target
10.97654914855957,0.7,Target
10.97654914855957,0.72,Target
10.97654914855957,0.74,Target
10.97654914855957,0.76,Target
10.97654914855957,0.78,Target
10.97654914855957,0.8,Target
10.97654914855957,0.82,Target
10.97654914855957,0.84,Target
10.97654914855957,0.86,Target
10.97654914855957,0.88,Target
10.97654914855957,0.9,Target
10.97654914855957,0.92,Target
10.97654914855957,0.94,Target
10.97654914855957,0.96,Target
10.97654914855957,0.98,Target
10.97654914855957,1.0,Target
