cumulative_sum,alpha,method
2.99573088870007,0.0,IG
37.026192899442776,0.02,IG
38.378882407277466,0.04,IG
25.577959188546174,0.06,IG
19.948628267371166,0.08,IG
16.038214708588075,0.1,IG
13.180670553770794,0.12,IG
11.697716871423609,0.14,IG
10.755397053774384,0.16,IG
9.935202801299239,0.18,IG
9.196585500066497,0.2,IG
8.443512018053152,0.22,IG
7.7850730001216775,0.24,IG
7.177938538730558,0.26,IG
6.634319970673946,0.28,IG
6.273591610652261,0.3,IG
5.982347931390159,0.32,IG
5.7149949156848585,0.34,IG
5.446111051153771,0.36,IG
5.194997523575145,0.38,IG
4.981685582546948,0.4,IG
4.780577199985188,0.42,IG
4.6124964040966185,0.44,IG
4.466395499818647,0.46,IG
4.334508026609333,0.48,IG
4.199331224514516,0.5,IG
4.0594361077601215,0.52,IG
3.9424153610295214,0.54,IG
3.836994804931175,0.56,IG
3.7235496619417985,0.58,IG
3.622714977363133,0.6,IG
3.526669709033058,0.62,IG
3.429743432811078,0.64,IG
3.3397983164491327,0.66,IG
3.259702487245108,0.68,IG
3.1834058951342525,0.7,IG
3.1098482758966024,0.72,IG
3.0368948764393475,0.74,IG
2.9721245171960207,0.76,IG
2.9089878005916034,0.78,IG
2.847143559479198,0.8,IG
2.787641136256795,0.82,IG
2.7289358953334744,0.84,IG
2.6727570178367075,0.86,IG
2.6192029528006167,0.88,IG
2.564024689423684,0.9,IG
2.5128939939133605,0.92,IG
2.465109357249311,0.94,IG
2.4215887748687606,0.96,IG
2.3822238082520384,0.98,IG
2.338328539630348,1.0,IG
10.97654914855957,0.0,Target
10.97654914855957,0.02,Target
10.97654914855957,0.04,Target
10.97654914855957,0.06,Target
10.97654914855957,0.08,Target
10.97654914855957,0.1,Target
10.97654914855957,0.12,Target
10.97654914855957,0.14,Target
10.97654914855957,0.16,Target
10.97654914855957,0.18,Target
10.97654914855957,0.2,Target
10.97654914855957,0.22,Target
10.97654914855957,0.24,Target
10.97654914855957,0.26,Target
10.97654914855957,0.28,Target
10.97654914855957,0.3,Target
10.97654914855957,0.32,Target
10.97654914855957,0.34,Target
10.97654914855957,0.36,Target
10.97654914855957,0.38,Target
10.97654914855957,0.4,Target
10.97654914855957,0.42,Target
10.97654914855957,0.44,Target
10.97654914855957,0.46,Target
10.97654914855957,0.48,Target
10.97654914855957,0.5,Target
10.97654914855957,0.52,Target
10.97654914855957,0.54,Target
10.97654914855957,0.56,Target
10.97654914855957,0.58,Target
10.97654914855957,0.6,Target
10.97654914855957,0.62,Target
10.97654914855957,0.64,Target
10.97654914855957,0.66,Target
10.97654914855957,0.68,Target
10.97654914855957,0.7,Target
10.97654914855957,0.72,Target
10.97654914855957,0.74,Target
10.97654914855957,0.76,Target
10.97654914855957,0.78,Target
10.97654914855957,0.8,Target
10.97654914855957,0.82,Target
10.97654914855957,0.84,Target
10.97654914855957,0.86,Target
10.97654914855957,0.88,Target
10.97654914855957,0.9,Target
10.97654914855957,0.92,Target
10.97654914855957,0.94,Target
10.97654914855957,0.96,Target
10.97654914855957,0.98,Target
10.97654914855957,1.0,Target
