cumulative_sum,alpha,method
0.8461793422425945,0.0,IG
-0.036135875665721295,0.02,IG
1.1808483432101364,0.04,IG
1.5619229348862764,0.06,IG
1.608922159768922,0.08,IG
1.5868150703828352,0.1,IG
2.0042274747411106,0.12,IG
2.45636798038065,0.14,IG
2.8062472540476326,0.16,IG
2.7176213868802233,0.18,IG
2.894797815453582,0.2,IG
3.028037858242084,0.22,IG
3.2794306578877235,0.24,IG
3.368388189635385,0.26,IG
3.4111542742257965,0.28,IG
3.636696297684505,0.3,IG
3.774082075708904,0.32,IG
3.908045317511696,0.34,IG
4.1580588344831675,0.36,IG
4.68171215854943,0.38,IG
5.245653026988571,0.4,IG
6.546614574518256,0.42,IG
8.461025278600172,0.44,IG
10.464751931272415,0.46,IG
12.246038633033837,0.48,IG
13.418431090079629,0.5,IG
13.868118832378714,0.52,IG
14.052874702737478,0.54,IG
14.069580630190263,0.56,IG
13.881210778497849,0.58,IG
13.88164534919363,0.6,IG
13.624284115779956,0.62,IG
13.144226435802548,0.64,IG
12.839846221327695,0.66,IG
12.523981422939244,0.68,IG
12.47507217000241,0.7,IG
12.408620868230063,0.72,IG
12.222101418944089,0.74,IG
12.213301219394278,0.76,IG
12.149856618428933,0.78,IG
12.000624508788608,0.8,IG
11.973738042953176,0.82,IG
11.815594046697095,0.84,IG
11.260231513019386,0.86,IG
10.614787589288454,0.88,IG
10.686313966538075,0.9,IG
10.48862033432085,0.92,IG
10.411978729489187,0.94,IG
10.100582406634732,0.96,IG
9.84947575041319,0.98,IG
9.5678624422525,1.0,IG
9.84460735321045,0.0,Target
9.84460735321045,0.02,Target
9.84460735321045,0.04,Target
9.84460735321045,0.06,Target
9.84460735321045,0.08,Target
9.84460735321045,0.1,Target
9.84460735321045,0.12,Target
9.84460735321045,0.14,Target
9.84460735321045,0.16,Target
9.84460735321045,0.18,Target
9.84460735321045,0.2,Target
9.84460735321045,0.22,Target
9.84460735321045,0.24,Target
9.84460735321045,0.26,Target
9.84460735321045,0.28,Target
9.84460735321045,0.3,Target
9.84460735321045,0.32,Target
9.84460735321045,0.34,Target
9.84460735321045,0.36,Target
9.84460735321045,0.38,Target
9.84460735321045,0.4,Target
9.84460735321045,0.42,Target
9.84460735321045,0.44,Target
9.84460735321045,0.46,Target
9.84460735321045,0.48,Target
9.84460735321045,0.5,Target
9.84460735321045,0.52,Target
9.84460735321045,0.54,Target
9.84460735321045,0.56,Target
9.84460735321045,0.58,Target
9.84460735321045,0.6,Target
9.84460735321045,0.62,Target
9.84460735321045,0.64,Target
9.84460735321045,0.66,Target
9.84460735321045,0.68,Target
9.84460735321045,0.7,Target
9.84460735321045,0.72,Target
9.84460735321045,0.74,Target
9.84460735321045,0.76,Target
9.84460735321045,0.78,Target
9.84460735321045,0.8,Target
9.84460735321045,0.82,Target
9.84460735321045,0.84,Target
9.84460735321045,0.86,Target
9.84460735321045,0.88,Target
9.84460735321045,0.9,Target
9.84460735321045,0.92,Target
9.84460735321045,0.94,Target
9.84460735321045,0.96,Target
9.84460735321045,0.98,Target
9.84460735321045,1.0,Target
