cumulative_sum,alpha,method
-0.29533444643702755,0.0,IG
-0.6696036650859516,0.02,IG
-1.1087193435046303,0.04,IG
-1.3743522648417295,0.06,IG
-1.3590661776133068,0.08,IG
-1.2527203271063028,0.1,IG
-1.0394776912863568,0.12,IG
-0.9533407072315203,0.14,IG
-0.924341639861298,0.16,IG
-0.6390825303917776,0.18,IG
-0.22184964434366394,0.2,IG
0.05644511598152557,0.22,IG
0.327228613187187,0.24,IG
0.6335663316703424,0.26,IG
0.8730484592904584,0.28,IG
1.0234561488320575,0.3,IG
1.1366369475550822,0.32,IG
1.2495090240074238,0.34,IG
1.3824474148969272,0.36,IG
1.4474957857289226,0.38,IG
1.4138259914145435,0.4,IG
1.3046619533828143,0.42,IG
1.1871314103908817,0.44,IG
1.2396877340294465,0.46,IG
1.605484600477929,0.48,IG
2.55564265985776,0.5,IG
4.034049593066205,0.52,IG
5.804900298518168,0.54,IG
7.697821076166281,0.56,IG
9.476998514409427,0.58,IG
10.652080041072471,0.6,IG
11.411163825062275,0.62,IG
12.021031491902523,0.64,IG
12.52287530940624,0.66,IG
12.88454302202443,0.68,IG
13.21321532971892,0.7,IG
13.485887779075775,0.72,IG
13.647228523610957,0.74,IG
13.904836286413497,0.76,IG
13.675762871467995,0.78,IG
13.386276039132792,0.8,IG
12.839317219907308,0.82,IG
12.490662244358223,0.84,IG
12.12292043035076,0.86,IG
11.865655961747073,0.88,IG
11.688292588132455,0.9,IG
11.545598351398977,0.92,IG
11.344029892725805,0.94,IG
11.257128867996508,0.96,IG
11.166185221755658,0.98,IG
11.064169349741226,1.0,IG
11.09317398071289,0.0,Target
11.09317398071289,0.02,Target
11.09317398071289,0.04,Target
11.09317398071289,0.06,Target
11.09317398071289,0.08,Target
11.09317398071289,0.1,Target
11.09317398071289,0.12,Target
11.09317398071289,0.14,Target
11.09317398071289,0.16,Target
11.09317398071289,0.18,Target
11.09317398071289,0.2,Target
11.09317398071289,0.22,Target
11.09317398071289,0.24,Target
11.09317398071289,0.26,Target
11.09317398071289,0.28,Target
11.09317398071289,0.3,Target
11.09317398071289,0.32,Target
11.09317398071289,0.34,Target
11.09317398071289,0.36,Target
11.09317398071289,0.38,Target
11.09317398071289,0.4,Target
11.09317398071289,0.42,Target
11.09317398071289,0.44,Target
11.09317398071289,0.46,Target
11.09317398071289,0.48,Target
11.09317398071289,0.5,Target
11.09317398071289,0.52,Target
11.09317398071289,0.54,Target
11.09317398071289,0.56,Target
11.09317398071289,0.58,Target
11.09317398071289,0.6,Target
11.09317398071289,0.62,Target
11.09317398071289,0.64,Target
11.09317398071289,0.66,Target
11.09317398071289,0.68,Target
11.09317398071289,0.7,Target
11.09317398071289,0.72,Target
11.09317398071289,0.74,Target
11.09317398071289,0.76,Target
11.09317398071289,0.78,Target
11.09317398071289,0.8,Target
11.09317398071289,0.82,Target
11.09317398071289,0.84,Target
11.09317398071289,0.86,Target
11.09317398071289,0.88,Target
11.09317398071289,0.9,Target
11.09317398071289,0.92,Target
11.09317398071289,0.94,Target
11.09317398071289,0.96,Target
11.09317398071289,0.98,Target
11.09317398071289,1.0,Target
