cumulative_sum,alpha,method
-7.259870125690506,0.0,IG
203.25673155776352,0.02,IG
144.25615154472146,0.04,IG
113.1111248300956,0.06,IG
89.32028544920492,0.08,IG
76.91477165803279,0.1,IG
67.40290223037915,0.12,IG
59.81267555445598,0.14,IG
54.455009637865714,0.16,IG
49.72964223815174,0.18,IG
45.67262290171138,0.2,IG
42.22769660843914,0.22,IG
39.27582467527922,0.24,IG
36.74223208902305,0.26,IG
34.47157719979077,0.28,IG
32.38859228507195,0.3,IG
30.513101496523163,0.32,IG
28.90687976763105,0.34,IG
27.429840447478654,0.36,IG
26.06289741897198,0.38,IG
24.811887835626592,0.4,IG
23.724457346727036,0.42,IG
22.77492475436824,0.44,IG
21.90619177001141,0.46,IG
21.09626444773775,0.48,IG
20.350241019952175,0.5,IG
19.641080784564583,0.52,IG
18.964248827851875,0.54,IG
18.35006334495081,0.56,IG
17.76444681183241,0.57,IG
17.193425464841887,0.6,IG
16.674386379479323,0.62,IG
16.17570512665434,0.64,IG
15.703193348076832,0.66,IG
15.25489992192825,0.68,IG
14.835398830061367,0.7,IG
14.432933990032078,0.72,IG
14.04727254092421,0.74,IG
13.670994783370526,0.76,IG
13.332800999559707,0.78,IG
13.007512549225552,0.8,IG
12.70200854443138,0.82,IG
12.406422555857414,0.84,IG
12.124967265138558,0.86,IG
11.85367397185103,0.88,IG
11.598541458534594,0.9,IG
11.35382859713004,0.92,IG
11.125660827839802,0.94,IG
10.903475232092328,0.96,IG
10.675759310715911,0.98,IG
10.461689738610694,1.0,IG
8.866900444030762,0.0,Target
8.866900444030762,0.02,Target
8.866900444030762,0.04,Target
8.866900444030762,0.06,Target
8.866900444030762,0.08,Target
8.866900444030762,0.1,Target
8.866900444030762,0.12,Target
8.866900444030762,0.14,Target
8.866900444030762,0.16,Target
8.866900444030762,0.18,Target
8.866900444030762,0.2,Target
8.866900444030762,0.22,Target
8.866900444030762,0.24,Target
8.866900444030762,0.26,Target
8.866900444030762,0.28,Target
8.866900444030762,0.3,Target
8.866900444030762,0.32,Target
8.866900444030762,0.34,Target
8.866900444030762,0.36,Target
8.866900444030762,0.38,Target
8.866900444030762,0.4,Target
8.866900444030762,0.42,Target
8.866900444030762,0.44,Target
8.866900444030762,0.46,Target
8.866900444030762,0.48,Target
8.866900444030762,0.5,Target
8.866900444030762,0.52,Target
8.866900444030762,0.54,Target
8.866900444030762,0.56,Target
8.866900444030762,0.57,Target
8.866900444030762,0.6,Target
8.866900444030762,0.62,Target
8.866900444030762,0.64,Target
8.866900444030762,0.66,Target
8.866900444030762,0.68,Target
8.866900444030762,0.7,Target
8.866900444030762,0.72,Target
8.866900444030762,0.74,Target
8.866900444030762,0.76,Target
8.866900444030762,0.78,Target
8.866900444030762,0.8,Target
8.866900444030762,0.82,Target
8.866900444030762,0.84,Target
8.866900444030762,0.86,Target
8.866900444030762,0.88,Target
8.866900444030762,0.9,Target
8.866900444030762,0.92,Target
8.866900444030762,0.94,Target
8.866900444030762,0.96,Target
8.866900444030762,0.98,Target
8.866900444030762,1.0,Target
