cumulative_sum,alpha,method
-7.2598707893055,0.0,IG
148.65285511448837,0.005,IG
116.26386567295089,0.01,IG
187.28239601810236,0.015,IG
232.58058420344426,0.02,IG
222.07453118752906,0.025,IG
197.54657131531278,0.03,IG
175.9219735011588,0.035,IG
159.29231095319528,0.04,IG
141.57327001176392,0.045,IG
127.33469788688039,0.05,IG
117.38215178187288,0.055,IG
109.86629604494325,0.06,IG
104.07230684730564,0.065,IG
97.89736127877643,0.07,IG
92.36934427945666,0.075,IG
86.59214289339268,0.08,IG
81.68723517108418,0.085,IG
77.55867833891024,0.09,IG
73.7576632981271,0.095,IG
70.95431022486339,0.1,IG
68.14116542372837,0.105,IG
64.22808980756083,0.11,IG
62.231632933966885,0.115,IG
60.155634564301494,0.12,IG
58.256671597799475,0.125,IG
56.451781399829585,0.13,IG
54.649104621982275,0.135,IG
52.995034949600836,0.14,IG
51.60078309197639,0.145,IG
50.256256553048075,0.15,IG
49.0837392740512,0.155,IG
47.94767639512178,0.16,IG
46.849627737789085,0.165,IG
45.83973018965098,0.17,IG
44.83039607231171,0.175,IG
43.81339502236369,0.18,IG
42.837076689608395,0.185,IG
41.930803188260576,0.19,IG
40.995709603569914,0.195,IG
40.120263617812704,0.2,IG
39.252822759621374,0.205,IG
38.45218091412895,0.21,IG
37.684698827580554,0.215,IG
36.94356098248689,0.22,IG
36.2555163788835,0.225,IG
35.567939150102575,0.23,IG
34.91482521408917,0.235,IG
34.2809181019418,0.24,IG
33.63608418625132,0.245,IG
33.03933435262931,0.25,IG
32.47785108593067,0.255,IG
31.936863915776524,0.26,IG
31.399828592679135,0.265,IG
30.872397557280838,0.27,IG
30.362967176133846,0.275,IG
29.877342810027173,0.28,IG
29.400155369905214,0.285,IG
28.938689516334566,0.29,IG
28.484925193189845,0.295,IG
28.03671136221098,0.3,IG
27.59287012467591,0.305,IG
27.184899218472452,0.31,IG
26.780618818456986,0.315,IG
26.376382178572047,0.32,IG
25.99275149880173,0.325,IG
25.62719792617845,0.33,IG
25.269622712347008,0.335,IG
24.92660035107058,0.34,IG
24.59703082874498,0.345,IG
24.277046809326585,0.35,IG
23.951725161894846,0.355,IG
23.635168901498734,0.36,IG
23.3208140225682,0.365,IG
23.022295209782587,0.37,IG
22.732161747660108,0.375,IG
22.43812022123109,0.38,IG
22.153330073325698,0.385,IG
21.881094664098708,0.39,IG
21.60557306977834,0.395,IG
21.336266226102772,0.4,IG
