k,mean_logit_fraction,sd_logit_fraction,baseline
0.0,1.0,0.0,eg
0.1,0.3171975910663605,0.387199729681015,eg
0.2,0.2384188175201416,0.355056494474411,eg
0.3,0.1890986263751984,0.33141741156578064,eg
0.4,0.1479366272687912,0.30078032612800604,eg
0.5,0.11390522867441175,0.26775094866752625,eg
0.6,0.08721884340047836,0.237856850028038,eg
0.7,0.059080641716718674,0.19013601541519165,eg
0.8,0.032980937510728836,0.13578295707702634,eg
0.9,0.015312961302697659,0.08397020399570465,eg
1.0,0.008007931523025036,0.0650714561343193,eg
0.0,1.0,0.0,gaussian
0.1,0.341107189655304,0.39117270708084106,gaussian
0.2,0.2813513875007629,0.3786739706993103,gaussian
0.3,0.2442818135023117,0.3636737763881683,gaussian
0.4,0.20914919674396515,0.345200389623642,gaussian
0.5,0.18284282088279724,0.3265666961669922,gaussian
0.6,0.15786035358905792,0.3081320822238922,gaussian
0.7,0.1263539344072342,0.28121939301490784,gaussian
0.8,0.09050086885690688,0.2473016977310181,gaussian
0.9,0.0499613955616951,0.18401362001895905,gaussian
1.0,0.008007932454347609,0.0650714710354805,gaussian
0.0,1.0,0.0,ig
0.1,0.7405092716217041,0.3857235014438629,ig
0.2,0.6915961503982544,0.4150393605232239,ig
0.3,0.6173421740531921,0.4455081820487976,ig
0.4,0.5015715956687927,0.4549530446529389,ig
0.5,0.3721973896026611,0.4259857535362244,ig
0.6,0.2509151995182037,0.37696337699890137,ig
0.7,0.15652996301651,0.30895501375198364,ig
0.8,0.08509217947721481,0.23402948677539825,ig
0.9,0.033925440162420266,0.15067416429519653,ig
1.0,0.008007931523025036,0.0650714561343193,ig
0.0,1.0,0.0,max_dist
0.1,0.6553040146827698,0.4092136323451996,max_dist
0.2,0.5378380417823792,0.4262155592441559,max_dist
0.3,0.4422928392887116,0.4318602979183197,max_dist
0.4,0.3686427474021912,0.4214338660240173,max_dist
0.5,0.2935633957386017,0.4034088850021362,max_dist
0.6,0.2171379327774048,0.3664305806159973,max_dist
0.7,0.12682372331619265,0.2759434580802917,max_dist
0.8,0.06684008240699768,0.1995633095502853,max_dist
0.9,0.02617514319717884,0.12661264836788175,max_dist
1.0,0.008007931523025036,0.0650714561343193,max_dist
0.0,1.0,0.0,uniform
0.1,0.3180997967720032,0.38144266605377203,uniform
0.2,0.2353622615337372,0.3535086214542389,uniform
0.3,0.19156280159950256,0.33037471771240234,uniform
0.4,0.1559317708015442,0.3060086071491241,uniform
0.5,0.13193754851818085,0.287509024143219,uniform
0.6,0.10788974165916444,0.261810302734375,uniform
0.7,0.08263809233903885,0.2374723106622696,uniform
0.8,0.052820097655057914,0.1857914924621582,uniform
0.9,0.025007190182805058,0.12513673305511475,uniform
1.0,0.008007931523025036,0.0650714561343193,uniform
0.0,1.0,0.0,blur
0.1,0.3539649546146393,0.3993023931980133,blur
0.2,0.2337639331817627,0.3502056896686554,blur
0.3,0.17566829919815066,0.3164013922214508,blur
0.4,0.14241456985473633,0.29135239124298096,blur
0.5,0.12329865992069244,0.2744377851486206,blur
0.6,0.108423113822937,0.2576855719089508,blur
0.7,0.0858343318104744,0.227760449051857,blur
0.8,0.06317427009344101,0.1938093602657318,blur
0.9,0.0328788161277771,0.13722658157348633,blur
1.0,0.008007931523025036,0.0650714710354805,blur
0.0,1.0,0.0,null_gaussian
0.1,0.9149657487869264,0.2764646708965301,null_gaussian
0.2,0.8313409686088562,0.33941495418548584,null_gaussian
0.3,0.7552242279052734,0.40511590242385853,null_gaussian
0.4,0.6489986181259155,0.4380675554275513,null_gaussian
0.5,0.5283375978469849,0.4728963375091553,null_gaussian
0.6,0.35424333810806274,0.4229276478290558,null_gaussian
0.7,0.17485398054122925,0.334891140460968,null_gaussian
0.8,0.05171442404389381,0.17622186243534088,null_gaussian
0.9,0.0082529466599226,0.06605810672044754,null_gaussian
1.0,0.008007931523025036,0.0650714561343193,null_gaussian
