cumulative_sum,alpha,method
-7.744448591834473,0.0,IG
43.288772311460036,0.002,IG
30.219408760712124,0.004,IG
-15.128670672013499,0.006,IG
-19.299235039106655,0.008,IG
-13.502062999378762,0.01,IG
-4.409124238479172,0.012,IG
-11.75337959891091,0.014,IG
-6.325884319534851,0.016,IG
18.21816184190975,0.018000000000000002,IG
73.83872864113158,0.02,IG
117.82128528995219,0.022,IG
134.53175815508143,0.024,IG
142.18861144759165,0.026000000000000002,IG
148.8650940408571,0.028,IG
159.51797745695677,0.03,IG
178.58481088698883,0.032,IG
201.90988513891,0.034,IG
217.59662393344357,0.036000000000000004,IG
228.33366914328775,0.038,IG
230.58319745192392,0.04,IG
227.09495563784301,0.042,IG
218.22076372802914,0.044,IG
207.85691821765607,0.046,IG
196.50754707277568,0.048,IG
186.54926325399677,0.05,IG
177.79212084779286,0.052000000000000005,IG
169.4610901018553,0.054,IG
162.11961217727136,0.056,IG
155.4801319240767,0.058,IG
149.50772929190504,0.06,IG
144.14147357204737,0.062,IG
139.21015260812047,0.064,IG
134.7712878521479,0.066,IG
130.4369888100519,0.068,IG
126.45489585835392,0.07,IG
122.74415805853064,0.07200000000000001,IG
119.21661871507287,0.074,IG
115.89561974645667,0.076,IG
112.76186284524651,0.078,IG
109.73689833910508,0.08,IG
106.84571343639911,0.082,IG
104.18772572774115,0.084,IG
101.70718496381718,0.08600000000000001,IG
99.35055904464132,0.088,IG
97.04590127029837,0.09,IG
94.82560590840268,0.092,IG
92.74695953120619,0.094,IG
90.73575368286834,0.096,IG
88.77741682452475,0.098,IG
86.84730023611843,0.1,IG
85.01071493124661,0.10200000000000001,IG
83.28544819620076,0.10400000000000001,IG
81.6961344553673,0.106,IG
80.19323434523773,0.108,IG
78.73511835763227,0.11,IG
77.34597958842014,0.112,IG
75.99833366103941,0.114,IG
74.70387547006037,0.116,IG
73.4528282610601,0.11800000000000001,IG
72.24799414620836,0.12,IG
71.07904180204547,0.122,IG
69.9258454386346,0.124,IG
68.77691293847676,0.126,IG
67.66866915898312,0.128,IG
66.58645778443024,0.13,IG
65.52158719844273,0.132,IG
64.47010117322012,0.134,IG
63.45771112598492,0.136,IG
62.481600765941266,0.138,IG
61.52916165923425,0.14,IG
60.599172912495426,0.14200000000000002,IG
59.706523026360955,0.14400000000000002,IG
58.84810201448514,0.146,IG
58.01456227366766,0.148,IG
57.21295575826928,0.15,IG
56.43670974941215,0.152,IG
55.680244685040364,0.154,IG
54.92909890997458,0.156,IG
54.201144457723935,0.158,IG
53.49830937483451,0.16,IG
52.812677775379434,0.162,IG
52.14748234857305,0.164,IG
51.50398611208054,0.166,IG
50.87178091083736,0.168,IG
50.25862998908256,0.17,IG
49.66062969541609,0.17200000000000001,IG
49.07964853519261,0.17400000000000002,IG
48.515641098631725,0.176,IG
47.96352775678248,0.178,IG
47.42632320962011,0.18,IG
46.90562651097336,0.182,IG
46.399327830953425,0.184,IG
45.898950621181704,0.186,IG
45.40834762916146,0.188,IG
44.93696853823613,0.19,IG
44.47140945958425,0.192,IG
44.017897099791476,0.194,IG
43.57001923445618,0.196,IG
43.126690086684576,0.198,IG
42.693007768604055,0.2,IG
42.26885366576461,0.202,IG
41.853950868963906,0.20400000000000001,IG
41.45038839718904,0.20600000000000002,IG
41.05632276009357,0.20800000000000002,IG
40.67469105942267,0.21,IG
40.29625525061797,0.212,IG
39.92844382588555,0.214,IG
39.56948093122648,0.216,IG
39.21518797942932,0.218,IG
38.863059463674425,0.22,IG
38.51796519938848,0.222,IG
38.1832998192701,0.224,IG
37.85541096800437,0.226,IG
37.531726120269994,0.228,IG
37.2107145760585,0.23,IG
36.893127375179354,0.232,IG
36.578683498284114,0.234,IG
36.26896683335583,0.23600000000000002,IG
35.96416256046658,0.23800000000000002,IG
35.663566663429215,0.24,IG
35.366201712702406,0.242,IG
35.07151799873951,0.244,IG
34.78471668072166,0.246,IG
34.50176680309779,0.248,IG
34.2221228847685,0.25,IG
33.94941391805718,0.252,IG
33.67944907810943,0.254,IG
33.41545948821403,0.256,IG
33.155709928588244,0.258,IG
32.90172386267425,0.26,IG
32.64754560809058,0.262,IG
32.397877238239985,0.264,IG
32.154528764905166,0.266,IG
31.916340314783515,0.268,IG
31.681637731451143,0.27,IG
31.452985467202858,0.272,IG
31.227740287345405,0.274,IG
31.00545892422822,0.276,IG
30.78609004076832,0.278,IG
30.568458645786468,0.28,IG
30.354979902571877,0.28200000000000003,IG
