cumulative_sum,alpha,method
-0.4060772724733437,0.0,IG
-1.3181932440069888,0.02,IG
-1.3548520258539116,0.04,IG
-0.9912409430956164,0.06,IG
-0.980728861424744,0.08,IG
-0.7458425216013085,0.1,IG
-0.6479776663491132,0.12,IG
-0.4760645144551443,0.14,IG
-0.2807788828003305,0.16,IG
-0.22940297855843078,0.18,IG
-0.42774557422238113,0.2,IG
-0.5865793196716859,0.22,IG
-0.6720669674045135,0.24,IG
-0.8737101927653549,0.26,IG
-0.77063119291274,0.28,IG
-0.8398343821410782,0.3,IG
-0.8590837506500991,0.32,IG
-0.7431060545744304,0.34,IG
-0.9062870670256649,0.36,IG
-0.9523920119347584,0.38,IG
-0.9494819985419172,0.4,IG
-0.8928051212091761,0.42,IG
-0.8840006901866946,0.44,IG
-0.8647448940689294,0.46,IG
-0.8979245468911203,0.48,IG
-1.0478515049691648,0.5,IG
-1.2767220192194402,0.52,IG
-1.3530725129420058,0.54,IG
-1.2003949278218906,0.56,IG
-1.0999613039557246,0.58,IG
-0.9542273428854338,0.6,IG
-0.38718886833556887,0.62,IG
0.3085278447745823,0.64,IG
1.1251244295353675,0.66,IG
3.1575659735273036,0.68,IG
6.385858710514481,0.7,IG
11.208739452435761,0.72,IG
14.244627089541053,0.74,IG
14.074134379475275,0.76,IG
13.383763708312475,0.78,IG
13.059455282285946,0.8,IG
12.677179483665265,0.82,IG
12.386326214377206,0.84,IG
12.031732733706344,0.86,IG
11.719203785864975,0.88,IG
11.556676074798636,0.9,IG
11.483871413211178,0.92,IG
11.305161610901553,0.94,IG
11.131299440436866,0.96,IG
10.934297416469951,0.98,IG
10.791134502524946,1.0,IG
10.419151306152344,0.0,Target
10.419151306152344,0.02,Target
10.419151306152344,0.04,Target
10.419151306152344,0.06,Target
10.419151306152344,0.08,Target
10.419151306152344,0.1,Target
10.419151306152344,0.12,Target
10.419151306152344,0.14,Target
10.419151306152344,0.16,Target
10.419151306152344,0.18,Target
10.419151306152344,0.2,Target
10.419151306152344,0.22,Target
10.419151306152344,0.24,Target
10.419151306152344,0.26,Target
10.419151306152344,0.28,Target
10.419151306152344,0.3,Target
10.419151306152344,0.32,Target
10.419151306152344,0.34,Target
10.419151306152344,0.36,Target
10.419151306152344,0.38,Target
10.419151306152344,0.4,Target
10.419151306152344,0.42,Target
10.419151306152344,0.44,Target
10.419151306152344,0.46,Target
10.419151306152344,0.48,Target
10.419151306152344,0.5,Target
10.419151306152344,0.52,Target
10.419151306152344,0.54,Target
10.419151306152344,0.56,Target
10.419151306152344,0.58,Target
10.419151306152344,0.6,Target
10.419151306152344,0.62,Target
10.419151306152344,0.64,Target
10.419151306152344,0.66,Target
10.419151306152344,0.68,Target
10.419151306152344,0.7,Target
10.419151306152344,0.72,Target
10.419151306152344,0.74,Target
10.419151306152344,0.76,Target
10.419151306152344,0.78,Target
10.419151306152344,0.8,Target
10.419151306152344,0.82,Target
10.419151306152344,0.84,Target
10.419151306152344,0.86,Target
10.419151306152344,0.88,Target
10.419151306152344,0.9,Target
10.419151306152344,0.92,Target
10.419151306152344,0.94,Target
10.419151306152344,0.96,Target
10.419151306152344,0.98,Target
10.419151306152344,1.0,Target
