cumulative_sum,alpha,method
2.995724776387206,0.0,IG
29.842119555433328,0.002,IG
-11.850997164793952,0.004,IG
15.894011600543763,0.006,IG
17.88661623808986,0.008,IG
13.51305148314168,0.01,IG
5.19867165017681,0.012,IG
2.466278309119616,0.014,IG
2.930334159367084,0.016,IG
4.058079464558618,0.018000000000000002,IG
10.148859546027689,0.02,IG
26.25713220988322,0.022,IG
53.602939818846984,0.024,IG
80.75488441491855,0.026000000000000002,IG
108.44218393842289,0.028,IG
145.8027187304342,0.03,IG
198.6473481798594,0.032,IG
241.52105439849797,0.034,IG
262.63518721998224,0.036000000000000004,IG
261.3007997653291,0.038,IG
250.8142975052482,0.04,IG
239.4728009970309,0.042,IG
229.3487162206065,0.044,IG
222.66921114575422,0.046,IG
215.88410086837484,0.048,IG
207.97737493822711,0.05,IG
200.17686429556747,0.052000000000000005,IG
192.88671166425127,0.054,IG
185.93240298058677,0.056,IG
178.73000670979673,0.058,IG
172.55081934866698,0.06,IG
166.81141393082646,0.062,IG
161.12189672033517,0.064,IG
156.00773636658093,0.066,IG
151.3276715535205,0.068,IG
147.0253842196932,0.07,IG
142.84229138468956,0.07200000000000001,IG
139.03615524294597,0.074,IG
135.33428115248665,0.076,IG
131.83112505151166,0.078,IG
128.55307976561656,0.08,IG
125.44656547887485,0.082,IG
122.47483383246431,0.084,IG
119.70781480687207,0.08600000000000001,IG
116.96308246244477,0.088,IG
114.25475323805338,0.09,IG
111.65101543900724,0.092,IG
109.18343353523082,0.094,IG
106.87335074818631,0.096,IG
104.61709920617635,0.098,IG
102.496884984462,0.1,IG
100.44323782274915,0.10200000000000001,IG
98.5029060962677,0.10400000000000001,IG
96.5747067573636,0.106,IG
94.72957805904605,0.108,IG
92.95142349622621,0.11,IG
91.23701305513517,0.112,IG
89.58085863714824,0.114,IG
87.99353103380194,0.116,IG
86.4435255148733,0.11800000000000001,IG
84.9614257275992,0.12,IG
83.54734302607115,0.122,IG
82.20430530762644,0.124,IG
80.89555851369107,0.126,IG
79.64142035591584,0.128,IG
78.45079404900709,0.13,IG
77.30760577916287,0.132,IG
76.1828230040995,0.134,IG
75.1138048613438,0.136,IG
74.07674832138179,0.138,IG
73.05196373962174,0.14,IG
72.04351622716749,0.14200000000000002,IG
71.0705933036363,0.14400000000000002,IG
70.11629951974818,0.146,IG
69.17979694513586,0.148,IG
68.26510677756661,0.15,IG
67.38108860263944,0.152,IG
66.52261165780482,0.154,IG
65.6943904275548,0.156,IG
64.90739747594917,0.158,IG
64.14578496604425,0.16,IG
63.39759939678051,0.162,IG
62.66945771345919,0.164,IG
61.96676630112669,0.166,IG
61.27820154883553,0.168,IG
60.617550913637274,0.17,IG
59.96784781786387,0.17200000000000001,IG
59.335979030950625,0.17400000000000002,IG
58.71777180079052,0.176,IG
58.10193848087616,0.178,IG
57.491515381423866,0.18,IG
56.890362296794784,0.182,IG
56.30245040738874,0.184,IG
55.72932431114521,0.186,IG
55.16656136379728,0.188,IG
54.61751803950375,0.19,IG
54.080000679299914,0.192,IG
53.55261350821502,0.194,IG
53.025378388377746,0.196,IG
52.50717655315586,0.198,IG
52.005228766280744,0.2,IG
51.50810708390403,0.202,IG
51.01181632602165,0.20400000000000001,IG
50.51777595743346,0.20600000000000002,IG
50.031362406252924,0.20800000000000002,IG
49.55848809452922,0.21,IG
49.10194299946089,0.212,IG
48.654820476058674,0.214,IG
48.21070972931101,0.216,IG
47.77094022000998,0.218,IG
47.34200979408413,0.22,IG
46.91966480386794,0.222,IG
46.50139566140106,0.224,IG
46.0912088252421,0.226,IG
45.69107706587346,0.228,IG
45.294360579406515,0.23,IG
44.89455013369179,0.232,IG
44.50221638601828,0.234,IG
44.121494498688755,0.23600000000000002,IG
43.75410376822414,0.23800000000000002,IG
43.39153908424688,0.24,IG
43.03599371139483,0.242,IG
42.68507758355827,0.244,IG
42.337294839251946,0.246,IG
41.99584757377532,0.248,IG
41.66213456737028,0.25,IG
41.33542572592137,0.252,IG
41.010626177583845,0.254,IG
40.69200345868767,0.256,IG
40.37535983976888,0.258,IG
40.061694860775404,0.26,IG
39.7599237466978,0.262,IG
39.46540280990762,0.264,IG
39.17074637588949,0.266,IG
38.880989977640716,0.268,IG
38.59339254397494,0.27,IG
38.30784548205845,0.272,IG
38.025912587833396,0.274,IG
37.74740414624627,0.276,IG
