cumulative_sum,alpha,method
0.8461805987530164,0.0,IG
-0.0361360035529934,0.02,IG
1.1808485812160459,0.04,IG
1.5619230968859248,0.06,IG
1.608922128608771,0.08,IG
1.586815089999002,0.1,IG
2.004227486934477,0.12,IG
2.456368054113586,0.14,IG
2.8062473412247364,0.16,IG
2.717621558825881,0.18,IG
2.8947979910927675,0.2,IG
3.028037955932941,0.22,IG
3.2794306865790612,0.24,IG
3.368388168508849,0.26,IG
3.4111542684885996,0.28,IG
3.636696186628315,0.3,IG
3.774082044495499,0.32,IG
3.908045486698276,0.34,IG
4.158058935130562,0.36,IG
4.681712264686627,0.38,IG
5.245653249321719,0.4,IG
6.546615010743805,0.42,IG
8.46102578131663,0.44,IG
10.464752519872384,0.46,IG
12.246039138442354,0.48,IG
13.418431816970138,0.5,IG
13.86811944003468,0.52,IG
14.052875277917943,0.54,IG
14.069580951329375,0.56,IG
13.881210943603545,0.58,IG
13.881645453905964,0.6,IG
13.624284146232062,0.62,IG
13.144226314045977,0.64,IG
12.839846100950588,0.66,IG
12.523981283072635,0.68,IG
12.47507210805943,0.7,IG
12.408620755474017,0.72,IG
12.222101352043941,0.74,IG
12.213301238752967,0.76,IG
12.149856685417337,0.78,IG
12.000624603778803,0.8,IG
11.973738163432772,0.82,IG
11.81559411908595,0.84,IG
11.260231749928577,0.86,IG
10.614788064027499,0.88,IG
10.686314304458968,0.9,IG
10.488620841467824,0.92,IG
10.411979182239278,0.94,IG
10.100582749919253,0.96,IG
9.849476146833245,0.98,IG
9.567862852695319,1.0,IG
9.84460735321045,0.0,Target
9.84460735321045,0.02,Target
9.84460735321045,0.04,Target
9.84460735321045,0.06,Target
9.84460735321045,0.08,Target
9.84460735321045,0.1,Target
9.84460735321045,0.12,Target
9.84460735321045,0.14,Target
9.84460735321045,0.16,Target
9.84460735321045,0.18,Target
9.84460735321045,0.2,Target
9.84460735321045,0.22,Target
9.84460735321045,0.24,Target
9.84460735321045,0.26,Target
9.84460735321045,0.28,Target
9.84460735321045,0.3,Target
9.84460735321045,0.32,Target
9.84460735321045,0.34,Target
9.84460735321045,0.36,Target
9.84460735321045,0.38,Target
9.84460735321045,0.4,Target
9.84460735321045,0.42,Target
9.84460735321045,0.44,Target
9.84460735321045,0.46,Target
9.84460735321045,0.48,Target
9.84460735321045,0.5,Target
9.84460735321045,0.52,Target
9.84460735321045,0.54,Target
9.84460735321045,0.56,Target
9.84460735321045,0.58,Target
9.84460735321045,0.6,Target
9.84460735321045,0.62,Target
9.84460735321045,0.64,Target
9.84460735321045,0.66,Target
9.84460735321045,0.68,Target
9.84460735321045,0.7,Target
9.84460735321045,0.72,Target
9.84460735321045,0.74,Target
9.84460735321045,0.76,Target
9.84460735321045,0.78,Target
9.84460735321045,0.8,Target
9.84460735321045,0.82,Target
9.84460735321045,0.84,Target
9.84460735321045,0.86,Target
9.84460735321045,0.88,Target
9.84460735321045,0.9,Target
9.84460735321045,0.92,Target
9.84460735321045,0.94,Target
9.84460735321045,0.96,Target
9.84460735321045,0.98,Target
9.84460735321045,1.0,Target
