cumulative_sum,alpha,method
0.07332228628570195,0.0,IG
-1.5247917382231857,0.02,IG
-1.2448543274973616,0.04,IG
-0.6477086783252068,0.06,IG
-0.30498539478050857,0.08,IG
-0.15180918687157158,0.1,IG
0.4153452030695324,0.12,IG
0.5032515591153267,0.14,IG
0.5361686969781749,0.16,IG
0.5792053240099014,0.18,IG
0.5701974061941035,0.2,IG
0.8287837158338338,0.22,IG
0.5297541232076041,0.24,IG
0.281743488473438,0.26,IG
0.19675616500086182,0.28,IG
0.07555904726943828,0.3,IG
-0.008389553018842803,0.32,IG
0.7813604468250798,0.34,IG
4.441814041643217,0.36,IG
7.711254739065689,0.38,IG
9.79464387948336,0.4,IG
11.691941633735249,0.42,IG
12.644279645624913,0.44,IG
13.134985863996063,0.46,IG
13.233261347077972,0.48,IG
13.35076295472576,0.5,IG
13.250415682480781,0.52,IG
12.861147056652078,0.54,IG
12.328438565663895,0.56,IG
12.108213459843148,0.58,IG
11.829206260189919,0.6,IG
11.758920148303172,0.62,IG
11.835176390564785,0.64,IG
11.697691326288675,0.66,IG
11.838077200102369,0.68,IG
11.81936454381351,0.7,IG
11.793308105222515,0.72,IG
11.79060404007252,0.74,IG
11.72178076907242,0.76,IG
11.663192745980279,0.78,IG
11.689174639595194,0.8,IG
11.521362773983414,0.82,IG
11.278045434528119,0.84,IG
11.044523768190876,0.86,IG
10.772267546657636,0.88,IG
10.620955422364673,0.9,IG
10.292063678523993,0.92,IG
10.019571379496941,0.94,IG
9.823650999013573,0.96,IG
9.68623850986775,0.98,IG
9.524972869597907,1.0,IG
9.778973579406738,0.0,Target
9.778973579406738,0.02,Target
9.778973579406738,0.04,Target
9.778973579406738,0.06,Target
9.778973579406738,0.08,Target
9.778973579406738,0.1,Target
9.778973579406738,0.12,Target
9.778973579406738,0.14,Target
9.778973579406738,0.16,Target
9.778973579406738,0.18,Target
9.778973579406738,0.2,Target
9.778973579406738,0.22,Target
9.778973579406738,0.24,Target
9.778973579406738,0.26,Target
9.778973579406738,0.28,Target
9.778973579406738,0.3,Target
9.778973579406738,0.32,Target
9.778973579406738,0.34,Target
9.778973579406738,0.36,Target
9.778973579406738,0.38,Target
9.778973579406738,0.4,Target
9.778973579406738,0.42,Target
9.778973579406738,0.44,Target
9.778973579406738,0.46,Target
9.778973579406738,0.48,Target
9.778973579406738,0.5,Target
9.778973579406738,0.52,Target
9.778973579406738,0.54,Target
9.778973579406738,0.56,Target
9.778973579406738,0.58,Target
9.778973579406738,0.6,Target
9.778973579406738,0.62,Target
9.778973579406738,0.64,Target
9.778973579406738,0.66,Target
9.778973579406738,0.68,Target
9.778973579406738,0.7,Target
9.778973579406738,0.72,Target
9.778973579406738,0.74,Target
9.778973579406738,0.76,Target
9.778973579406738,0.78,Target
9.778973579406738,0.8,Target
9.778973579406738,0.82,Target
9.778973579406738,0.84,Target
9.778973579406738,0.86,Target
9.778973579406738,0.88,Target
9.778973579406738,0.9,Target
9.778973579406738,0.92,Target
9.778973579406738,0.94,Target
9.778973579406738,0.96,Target
9.778973579406738,0.98,Target
9.778973579406738,1.0,Target
