cumulative_sum,alpha,method
-7.259869061804125,0.0,IG
-3.262741252309585,0.002,IG
88.69943937745172,0.004,IG
95.33858499392133,0.006,IG
103.93786140562663,0.008,IG
95.19586056630239,0.01,IG
93.07464077516481,0.012,IG
119.56734260395825,0.014,IG
158.01099745968392,0.016,IG
195.8308050490592,0.018000000000000002,IG
215.64376063209298,0.02,IG
220.81788806984025,0.022,IG
219.3338011392853,0.024,IG
215.55363713356653,0.026000000000000002,IG
206.48624397587395,0.028,IG
196.7295291468922,0.03,IG
188.95256036609788,0.032,IG
181.4949953958314,0.034,IG
173.78339704092124,0.036000000000000004,IG
166.05442753925072,0.038,IG
159.39731276742194,0.04,IG
152.2861796753181,0.042,IG
144.6218870617296,0.044,IG
138.09053359682434,0.046,IG
132.24533907195362,0.048,IG
126.58009406446587,0.05,IG
121.73096880660057,0.052000000000000005,IG
117.14410880633802,0.054,IG
113.67452344790604,0.056,IG
110.37893170494787,0.058,IG
107.45303157749413,0.06,IG
104.68378054683429,0.062,IG
102.213364218721,0.064,IG
100.03957367696904,0.066,IG
97.79711880414001,0.068,IG
95.39853532693193,0.07,IG
93.16158285048031,0.07200000000000001,IG
91.04882628315683,0.074,IG
88.57316284935236,0.076,IG
86.31363904673424,0.078,IG
84.06591641822004,0.08,IG
81.9588380070211,0.082,IG
79.83159939668266,0.084,IG
78.07519671823248,0.08600000000000001,IG
76.49846982114707,0.088,IG
74.90599599425859,0.09,IG
73.4144307666235,0.092,IG
71.97957463526592,0.094,IG
70.6430016841865,0.096,IG
69.47749413206485,0.098,IG
68.40709592298622,0.1,IG
67.32786203832792,0.10200000000000001,IG
66.30263475044669,0.10400000000000001,IG
65.1457228667545,0.106,IG
63.87639728275936,0.108,IG
62.34539835286382,0.11,IG
60.89349491856876,0.112,IG
59.94577203033814,0.114,IG
59.34612465768349,0.116,IG
58.6379510131397,0.11800000000000001,IG
57.84604388563793,0.12,IG
57.06652170015038,0.122,IG
56.33970870252618,0.124,IG
55.650990145497644,0.126,IG
54.92737417930473,0.128,IG
54.23945473016906,0.13,IG
53.57107656899992,0.132,IG
52.89542713718855,0.134,IG
52.20777980461548,0.136,IG
51.492853836510314,0.138,IG
50.86170256504212,0.14,IG
50.2785462219522,0.14200000000000002,IG
49.74936106218681,0.14400000000000002,IG
49.22448783178128,0.146,IG
48.70522948730352,0.148,IG
48.19490463707585,0.15,IG
47.72648423125941,0.152,IG
47.264467770148165,0.154,IG
46.84762452069119,0.156,IG
46.42747433303144,0.158,IG
45.99742799500504,0.16,IG
45.58168878016039,0.162,IG
45.160577071694775,0.164,IG
44.75948736199214,0.166,IG
44.38181525369025,0.168,IG
43.9995056242558,0.17,IG
43.630528293522815,0.17200000000000001,IG
43.24902883564911,0.17400000000000002,IG
42.880405053253334,0.176,IG
42.49634847780457,0.178,IG
42.10849059015637,0.18,IG
41.723262340437515,0.182,IG
41.347971911528624,0.184,IG
40.97994464357761,0.186,IG
40.62471051441507,0.188,IG
40.279582714414865,0.19,IG
39.932750696111974,0.192,IG
39.578997826547486,0.194,IG
39.22057723677971,0.196,IG
38.88474717414797,0.198,IG
38.55026921673195,0.2,IG
38.2237149626142,0.202,IG
37.88562936821154,0.20400000000000001,IG
37.55472749997699,0.20600000000000002,IG
37.23425435330778,0.20800000000000002,IG
36.92850701624939,0.21,IG
36.633729817814725,0.212,IG
36.34379858529436,0.214,IG
36.04798411204114,0.216,IG
35.760440717464576,0.218,IG
35.47731475076633,0.22,IG
35.20572630816939,0.222,IG
34.94307434242492,0.224,IG
34.6804456166811,0.226,IG
34.41781301136569,0.228,IG
34.15506767502126,0.23,IG
33.89217404832618,0.232,IG
33.64173190978575,0.234,IG
33.390146801701114,0.23600000000000002,IG
33.146364444558124,0.23800000000000002,IG
32.9042733193315,0.24,IG
32.65952428901176,0.242,IG
32.41134535460696,0.244,IG
32.17161805701239,0.246,IG
31.934420938189607,0.248,IG
31.70638527204225,0.25,IG
31.48563297519327,0.252,IG
31.26766866991987,0.254,IG
31.052884240659267,0.256,IG
30.842964945998162,0.258,IG
30.636571414982793,0.26,IG
30.432133850997094,0.262,IG
30.22901765640722,0.264,IG
30.025985611313935,0.266,IG
29.824649866519923,0.268,IG
29.62293296927005,0.27,IG
29.425710626865847,0.272,IG
29.232456726026275,0.274,IG
29.03916680311595,0.276,IG
28.849769446751584,0.278,IG
28.66418549660457,0.28,IG
28.478113673521342,0.28200000000000003,IG
28.29562356726021,0.28400000000000003,IG
28.112969963334823,0.28600000000000003,IG
27.93215998919415,0.28800000000000003,IG
27.755732941241725,0.29,IG
27.578094407245924,0.292,IG
27.404377614199127,0.294,IG
27.232415417132657,0.296,IG
27.06004684155928,0.298,IG
26.88841564499123,0.3,IG
26.71668608323115,0.302,IG
26.54390361161411,0.304,IG
26.376955377332227,0.306,IG
26.2178401364575,0.308,IG
26.061897269015763,0.31,IG
25.907255825203336,0.312,IG
25.75070312391143,0.314,IG
25.597671897145208,0.316,IG
25.443378439704063,0.318,IG
25.288483973002116,0.32,IG
25.137900081651676,0.322,IG
24.990277985287808,0.324,IG
24.844782203052162,0.326,IG
24.70155262656355,0.328,IG
24.56178780550528,0.33,IG
24.424753120707546,0.332,IG
24.288565141499095,0.334,IG
24.152524594732043,0.336,IG
24.015590805903837,0.338,IG
23.88451187331821,0.34,IG
23.756767648702773,0.342,IG
23.630897270702196,0.34400000000000003,IG
23.507305273537995,0.34600000000000003,IG
23.383640600688175,0.34800000000000003,IG
23.2614503084615,0.35000000000000003,IG
23.135994751787504,0.352,IG
23.011082904404578,0.354,IG
22.88787500997774,0.356,IG
22.76632039629425,0.358,IG
22.64519747706548,0.36,IG
22.52472680298203,0.362,IG
22.405217050283564,0.364,IG
22.287063649893526,0.366,IG
22.172356597096954,0.368,IG
22.05816112069088,0.37,IG
21.945976953166078,0.372,IG
21.83505188102005,0.374,IG
21.723085973993193,0.376,IG
21.610151900278776,0.378,IG
21.49748699845039,0.38,IG
21.385940064530278,0.382,IG
21.27632709271511,0.384,IG
21.168193264844547,0.386,IG
21.06171027969604,0.388,IG
20.957552155061574,0.39,IG
20.85171326698347,0.392,IG
20.74639357370017,0.394,IG
20.640929329293243,0.396,IG
20.536121904131242,0.398,IG
20.432916076025396,0.4,IG
20.331152955170587,0.402,IG
20.231355463550138,0.404,IG
20.13243167822601,0.406,IG
20.03676691419915,0.40800000000000003,IG
19.941167821639592,0.41000000000000003,IG
19.847738402655338,0.41200000000000003,IG
19.755995568841605,0.41400000000000003,IG
19.664763106911607,0.41600000000000004,IG
19.5736460487615,0.418,IG
19.48509076054341,0.42,IG
19.397560953204884,0.422,IG
19.31146846556063,0.424,IG
19.227247161395837,0.426,IG
19.144267338082606,0.428,IG
19.06213220031231,0.43,IG
18.98050026259002,0.432,IG
18.899545025981443,0.434,IG
18.818633221418644,0.436,IG
18.739277656278198,0.438,IG
18.66301474349613,0.44,IG
18.588088007032113,0.442,IG
18.513245975592834,0.444,IG
18.439219140660065,0.446,IG
18.366616996727,0.448,IG
18.29364024203403,0.45,IG
18.221895475659164,0.452,IG
18.151212307306842,0.454,IG
18.08080541193915,0.456,IG
18.01054420733124,0.458,IG
17.940911503718826,0.46,IG
17.872412975480753,0.462,IG
17.804325825849478,0.464,IG
17.736830833702083,0.466,IG
17.66977553697416,0.468,IG
17.603973617983577,0.47000000000000003,IG
17.538291761628653,0.47200000000000003,IG
17.472319875595755,0.47400000000000003,IG
17.40749515035229,0.47600000000000003,IG
17.34209696666521,0.47800000000000004,IG
17.27701789875339,0.48,IG
17.21272165483663,0.482,IG
17.148752849834143,0.484,IG
17.08525369701068,0.486,IG
17.021239756224034,0.488,IG
16.958333129551917,0.49,IG
16.895319168825928,0.492,IG
16.833490233972476,0.494,IG
16.772732169195837,0.496,IG
16.712127914125777,0.498,IG
16.65231699184614,0.5,IG
16.593661306054724,0.502,IG
16.534680923532612,0.504,IG
16.475750513555074,0.506,IG
16.417090333696436,0.508,IG
16.35849468353998,0.51,IG
16.299481305045227,0.512,IG
16.241143427782784,0.514,IG
16.182328023884622,0.516,IG
16.124093790189455,0.518,IG
16.066924556263505,0.52,IG
16.010121515687473,0.522,IG
15.952873230505924,0.524,IG
15.89533958573787,0.526,IG
15.838763960212225,0.528,IG
15.782589031275439,0.53,IG
15.727193981989679,0.532,IG
15.672144784394982,0.534,IG
15.617433352481441,0.536,IG
15.56257432590994,0.538,IG
15.507693456722672,0.54,IG
15.453443470630004,0.542,IG
15.40001718330481,0.544,IG
15.346758462263391,0.546,IG
15.294856660984768,0.548,IG
15.242829866173926,0.55,IG
15.190501061622152,0.552,IG
15.138598950116293,0.554,IG
15.08826484823757,0.556,IG
15.038931550215164,0.558,IG
14.98951528027536,0.56,IG
14.94038807478973,0.562,IG
14.892000085188677,0.5640000000000001,IG
14.843541931983879,0.5660000000000001,IG
14.794608524346787,0.5680000000000001,IG
14.74561219997464,0.5700000000000001,IG
14.696732663519168,0.5720000000000001,IG
14.647907160718699,0.5740000000000001,IG
14.599153663728876,0.5760000000000001,IG
14.550775562497922,0.578,IG
14.502589361228516,0.58,IG
14.455069270579779,0.582,IG
14.407018772835338,0.584,IG
14.359370159441038,0.586,IG
14.311694248154458,0.588,IG
14.263905614916451,0.59,IG
14.216751882456384,0.592,IG
14.169841013392587,0.594,IG
14.123470672524096,0.596,IG
14.07735386748748,0.598,IG
14.030793762783103,0.6,IG
13.984894546948052,0.602,IG
13.938952577774542,0.604,IG
13.893992652313754,0.606,IG
13.849810336254428,0.608,IG
13.80619378286201,0.61,IG
13.763773467895755,0.612,IG
13.721420937281383,0.614,IG
13.679121188657428,0.616,IG
13.636695201591362,0.618,IG
13.594725991507369,0.62,IG
13.552837560795732,0.622,IG
13.510645917623124,0.624,IG
13.468844580046344,0.626,IG
13.427047948966026,0.628,IG
13.385403538896878,0.63,IG
13.343871220587483,0.632,IG
13.302649763051926,0.634,IG
13.261876323275919,0.636,IG
13.220719725163997,0.638,IG
13.180212903049568,0.64,IG
13.139906787966241,0.642,IG
13.099921850970315,0.644,IG
13.060037979031344,0.646,IG
13.020163181386815,0.648,IG
12.980692058887282,0.65,IG
12.941384674259167,0.652,IG
12.902218552084133,0.654,IG
12.863270235653324,0.656,IG
12.824091982330987,0.658,IG
12.785681114123152,0.66,IG
12.747381357962091,0.662,IG
12.709395383253431,0.664,IG
12.671659168063252,0.666,IG
12.634349591382088,0.668,IG
12.59738324679601,0.67,IG
12.56050574964155,0.672,IG
12.523693445901205,0.674,IG
12.486823160602048,0.676,IG
12.450275889188466,0.678,IG
12.413802328261575,0.68,IG
12.377755146264283,0.682,IG
